Datetime,O2,CO2,Temperature,Salinity,pH,EC50
2003-01-01,244.45274,323.5074463360474,14.03638,37.765892,8.15794,37.082499999999996
2003-02-01,252.6553,303.4878065630397,12.398018,37.775345,8.181986,28.97
2003-03-01,254.34488,315.5788798420923,13.001169,37.87366,8.16889,39.77
2003-04-01,254.70996,330.347248951394,14.038213,37.883686,8.153341,55.44
2003-05-01,249.28868,395.3789785344189,18.12059,37.792,8.092755,24.15
2003-06-01,242.5232,484.90078460399707,22.780407,37.670998,8.0335655,37.082499999999996
2003-07-01,219.53679,526.9669874167283,26.03577,37.87671,7.9853115,37.082499999999996
2003-08-01,224.23813,549.3936935603257,26.73671,37.879223,7.9767814,43.053999999999995
2003-09-01,216.86752,463.5122033061929,23.848099,37.961674,8.027913,46.14
2003-10-01,226.25641,402.8618504811251,20.056524,37.945423,8.079508,45.312
2003-11-01,233.88159,359.1677572168764,17.075676,37.86259,8.120335,42.779999999999994
2003-12-01,238.41022,337.50663705896864,15.484401,37.847633,8.142805,47.355
2004-01-01,245.35577,318.1890944979028,13.749041,37.84631,8.164587,66.94
2004-02-01,249.1496,310.5979175919072,12.938748,37.79743,8.173346,44.4
2004-03-01,253.75507,311.27955588452994,12.867714,37.75141,8.173692,35.629999999999995
2004-04-01,255.7107,328.15981248457933,14.18907,37.75875,8.155354,47.464999999999996
2004-05-01,251.40414,365.54275845053047,16.471653,37.71752,8.118731,42.45
2004-06-01,248.12779,418.6883789785344,20.24865,37.579308,8.075653,47.905
2004-07-01,231.50679,481.95351591413765,23.73888,37.71002,8.021702,46.11928571428571
2004-08-01,222.63484,500.89948186528494,25.182821,37.847897,8.00341,42.78357142857143
2004-09-01,218.97151,461.4883789785344,23.460176,37.90007,8.030998,43.59357142857143
2004-10-01,221.96655,416.4457438934122,20.920746,37.932926,8.067243,44.92083333333334
2004-11-01,228.31532,377.5901603750309,18.327656,37.960274,8.102489,41.52
2004-12-01,234.95023,344.9086602516654,15.745237,38.053944,8.13465,43.99
2005-01-01,242.19778,323.45946212681963,14.028244,37.967533,8.157978,43.59
2005-02-01,251.81636,304.8960769800148,12.215273,37.96139,8.180233,50.07
2005-03-01,256.05917,312.914038983469,12.544296,38.03691,8.17223,49.34833333333333
2005-04-01,253.41733,336.6937873180361,14.365029,38.01465,8.147393,61.43
2005-05-01,248.56735,393.3180360226992,18.159817,37.947212,8.095389,55.49
2005-06-01,240.0774,455.59088082901553,21.903116,37.941235,8.046756,52.01666666666667
2005-07-01,231.54997,490.6544781643227,24.27871,38.001884,8.015991,53.622
2005-08-01,221.33813,498.5513249444856,24.936155,38.21503,8.003605,56.13
2005-09-01,219.5161,465.5623982235381,23.761627,38.057156,8.026115,58.15
2005-10-01,225.64752,416.8314532445103,20.727274,38.067295,8.066458,57.53
2005-11-01,228.04848,380.973076733284,18.557123,38.00931,8.098899,56.08
2005-12-01,238.12039,333.83798667653593,15.133198,37.998497,8.147558,58.0275
2006-01-01,246.61375,310.9056007895386,12.957124,38.080856,8.173978,49.6
2006-02-01,254.55284,307.4974882802862,12.160233,38.049618,8.178181,49.6
2006-03-01,258.8569,311.0828818159388,12.133781,38.03302,8.174802,57.65
2006-04-01,259.29837,341.4363681223785,14.331011,38.053375,8.144531,53.65
2006-05-01,249.22705,399.3502590673575,18.206697,38.075832,8.087473,63.28
2006-06-01,241.0451,429.4973599802616,20.171928,38.08706,8.063536,15.89
2006-07-01,229.51175,517.3537034295583,24.795965,38.213196,8.001575,48.524
2006-08-01,218.94995,497.0292129286948,24.93789,38.25186,8.005983,48.524
2006-09-01,220.87306,458.21650135701947,23.01982,38.20523,8.033611,46.63666666666666
2006-10-01,222.98598,426.9533382679496,21.309395,38.115154,8.058095,52.15
2006-11-01,225.51532,390.3254872933629,19.079964,38.14698,8.09105,42.129999999999995
2006-12-01,232.0143,359.5422847273624,16.847567,38.14965,8.121482,37.06
2007-01-01,239.5749,336.11016037503083,14.987641,38.12789,8.146391,44.116666666666674
2007-02-01,243.46336,330.3721687638786,14.291616,38.075157,8.152051,37.2
2007-03-01,248.33807,329.14463360473724,14.15214,38.021397,8.154251,44.116666666666674
2007-04-01,250.31998,356.75357512953366,15.772463,37.98814,8.128793,44.116666666666674
2007-05-01,243.0556,411.0631926967678,19.407917,37.746468,8.075657,43.0
2007-06-01,232.58505,442.8166790032075,21.633787,37.71526,8.047507,
2007-07-01,225.94241,489.9237601776462,23.69582,37.88653,8.010841,
2007-08-01,223.59082,487.7950653836664,23.926525,37.897324,8.011232,40.02666666666667
2007-09-01,222.4263,460.03407846039966,22.786293,37.94651,8.030537,
2007-10-01,226.64584,412.72045398470266,20.032276,37.8869,8.070135,39.67333333333333
2007-11-01,234.17325,364.50100172711575,16.865501,37.94342,8.115607,39.67333333333333
2007-12-01,239.60757,336.3524993831729,14.947144,38.0198,8.145115,
2008-01-01,246.88113,322.1049790278806,13.4309635,37.940247,8.160783,39.88
2008-02-01,250.68051,317.2964816185542,12.931472,37.898823,8.166524,43.99
2008-03-01,255.26857,320.06693313594866,13.036395,37.877083,8.163764,36.14
2008-04-01,255.14043,339.2098692326672,14.47716,37.844597,8.144002,42.268
2008-05-01,247.95268,388.76785590920304,17.757908,37.771675,8.095757,42.268
2008-06-01,238.01337,447.4256797434,21.083206,37.656067,8.051323,47.18
2008-07-01,227.4328,496.6384998766346,24.57674,37.66495,8.009222,52.76
2008-08-01,222.9472,518.2791018998273,25.69481,37.892212,7.9920692,44.20416666666667
2008-09-01,220.43509,472.9630397236615,23.721518,38.049324,8.021322,35.38
2008-10-01,225.70331,414.7885911670368,20.345617,38.12798,8.0688305,45.35916666666666
2008-11-01,230.00452,382.39319022945966,18.17457,38.04668,8.098255,45.35916666666666
2008-12-01,237.25243,345.6300616827042,15.5845995,37.895668,8.134541,52.76
2009-01-01,245.94608,324.18598568961266,13.736311,37.83318,8.157787,41.005
2009-02-01,249.54039,316.5146508758944,13.05543,37.793247,8.166748,43.07
2009-03-01,252.48804,320.9110091290402,13.33322,37.786224,8.162555,43.05375
2009-04-01,254.87015,341.0558795953615,14.852693,37.741966,8.141497,45.61166666666667
2009-05-01,246.28358,401.20055267702935,18.251057,37.761936,8.088666,45.61166666666667
2009-06-01,236.01158,451.9850974586726,21.945366,37.662956,8.042684,45.61166666666667
2009-07-01,228.39684,487.5179866765359,24.526857,37.670296,8.014615,45.451666666666675
2009-08-01,223.79694,526.2007895386134,25.836117,37.822445,7.9891825,
2009-09-01,217.95628,481.0359437453738,24.174107,37.98104,8.014446,
2009-10-01,222.13046,428.1576708610906,21.41129,37.947014,8.0570545,49.96444444444444
2009-11-01,229.80225,372.9084233900814,17.87121,37.938484,8.107807,47.224583333333335
2009-12-01,237.59955,345.15850974586726,15.604088,37.870354,8.136097,52.28
2010-01-01,245.59131,317.5654774241302,13.2524,37.72558,8.165918,47.98005555555556
2010-02-01,251.28596,315.2742561065877,12.624076,37.737644,8.168557,54.04
2010-03-01,256.40952,319.7974142610412,12.731365,37.76459,8.164295,43.57333333333333
2010-04-01,256.12573,343.7674808783617,14.572952,37.765217,8.140532,39.005
2010-05-01,248.19171,380.7289415247964,17.551363,37.53513,8.10036,42.742
2010-06-01,238.60466,439.1550259067357,21.322832,37.540657,8.0509405,56.24
2010-07-01,230.51337,503.60328645447817,24.418592,37.670326,8.014195,42.08
2010-08-01,227.38197,487.9568319763138,24.655735,37.81281,8.011751,45.43109090909091
2010-09-01,223.29248,465.98420922773255,23.312788,38.1062,8.025579,39.84
2010-10-01,224.4021,417.4125536639527,20.375565,38.227386,8.066023,43.505
2010-11-01,230.71231,375.6238341968912,17.763624,37.924503,8.104874,37.61666666666667
2010-12-01,238.04312,341.4023982235381,15.309576,37.820976,8.139773,49.97
2011-01-01,246.7549,320.50619294349866,13.475523,37.709526,8.162351,51.13
2011-02-01,254.63065,307.5317443868739,12.541852,37.618828,8.176975,53.67
2011-03-01,257.71548,315.58978534418947,12.622358,37.729053,8.169416,43.12
2011-04-01,256.78613,349.57753762644955,15.11165,37.836052,8.134825,44.06
2011-05-01,253.6215,383.9378238341969,18.170483,37.778526,8.099206,37.89
2011-06-01,240.2573,432.94188008882304,21.57252,37.58618,8.057872,43.07
2011-07-01,224.45657,495.2720453984703,24.252247,37.824886,8.00622,45.56583333333334
2011-08-01,221.59213,506.26735751295337,24.862282,37.912834,8.00023,45.87983333333334
2011-09-01,219.94235,484.7667999013077,24.19635,37.990482,8.011998,38.17
2011-10-01,229.64151,422.0695780903035,20.39885,38.004128,8.062891,44.195
2011-11-01,231.4792,378.9509992598076,17.862993,37.967236,8.100788,46.38
2011-12-01,234.81102,356.82785097458674,16.363346,37.958813,8.122904,53.973333333333336
2012-01-01,240.82713,331.98562052800395,14.471863,37.98046,8.149963,54.27
2012-02-01,251.42712,313.20015790772266,12.645807,37.953125,8.172124,51.805
2012-03-01,257.4169,320.1879792746114,13.267733,37.938503,8.164962,43.625
2012-04-01,253.23267,346.4813915618061,14.941554,37.923218,8.136977,40.975
2012-05-01,252.4168,370.6013126079448,17.029467,37.846535,8.113816,44.395
2012-06-01,239.3635,442.0754996299038,21.34154,37.80987,8.0545635,46.82166666666667
2012-07-01,229.91325,491.1384159881569,24.371412,37.81417,8.016801,45.800000000000004
2012-08-01,220.3757,526.5069035282506,25.50967,38.15287,7.9901943,45.45428571428572
2012-09-01,217.85757,477.66372563533184,23.716518,38.219574,8.018316,42.12
2012-10-01,220.97096,432.5916604983962,21.450924,38.155838,8.053696,43.41
2012-11-01,227.12798,381.9079496669134,18.397816,38.06781,8.09858,49.59142857142857
2012-12-01,236.24197,344.2555637799161,15.4256525,37.99155,8.1362,51.603571428571435
2013-01-01,242.88403,323.6375622995312,13.622318,37.944344,8.158699,51.85
2013-02-01,250.33772,314.00454971625953,12.567984,37.98047,8.169852,54.53
2013-03-01,251.81279,321.4700814211695,12.966887,38.016495,8.161371,59.405
2013-04-01,255.06198,345.7080680977054,14.76935,38.05237,8.138569,51.43
2013-05-01,249.4848,376.2281766592647,17.515415,37.9098,8.104479,58.48
2013-06-01,242.77802,433.46721934369606,19.772785,37.936558,8.066851,52.56611111111111
2013-07-01,242.16644,493.2979422649889,22.611868,37.913773,8.029251,41.24
2013-08-01,228.7568,514.6271502590673,24.403978,38.02981,8.001504,51.706399999999995
2013-09-01,221.26927,478.5161608684925,23.39932,38.12626,8.018726,55.56999999999999
2013-10-01,222.18402,431.9710140636566,20.973825,38.029045,8.054163,51.535
2013-11-01,227.88678,395.86238341968914,18.733164,38.118977,8.086888,49.05500000000001
2013-12-01,236.68124,353.20858623242043,15.737908,38.119118,8.128257,48.125
2014-01-01,241.65408,338.8346113989637,14.628783,37.995174,8.142583,47.694
2014-02-01,246.2537,332.33759684184554,14.04109,37.864204,8.149122,46.75
2014-03-01,249.40714,331.9747742413027,13.947658,37.843273,8.150073,45.99
2014-04-01,252.2847,351.50689365901803,15.358466,37.807198,8.130535,47.732
2014-05-01,249.38696,380.8384900074019,17.814692,37.779472,8.101495,46.260000000000005
2014-06-01,242.58467,424.0772168763879,20.874983,37.69155,8.06291,48.40176666666667
2014-07-01,224.03375,483.7028966197878,23.934376,37.75489,8.01432,49.49
2014-08-01,217.95981,490.7409819886504,24.926266,37.822083,8.006984,46.81
2014-09-01,217.73322,469.5069923513447,23.841005,37.93781,8.022818,53.01666666666667
2014-10-01,219.97397,441.7355045645201,22.133099,38.015266,8.044881,48.46086666666666
2014-11-01,225.66937,396.03115716753024,19.165533,37.988346,8.085657,52.15
2014-12-01,230.31728,373.05713298791017,17.459526,37.954063,8.107139,48.185
2015-01-01,238.34668,347.3225758697261,15.341376,38.189236,8.1337385,47.79
2015-02-01,246.69,329.1575326918332,13.563602,38.142776,8.153875,46.98
2015-03-01,251.5092,325.1644214162349,13.57086,37.402664,8.160387,46.195
2015-04-01,263.1277,321.4227189735998,14.889501,37.400513,8.163969,46.67
2015-05-01,253.66928,371.08620774734766,17.841877,37.59292,8.109425,45.96666666666667
2015-06-01,241.08865,444.992706637059,22.222307,37.548065,8.050203,46.75
2015-07-01,232.40256,526.466775228226,25.818121,37.61989,7.9962635,48.27
2015-08-01,220.54007,518.3064396743154,25.36414,38.022514,7.99401,46.84466666666667
2015-09-01,219.92769,476.2583567727609,23.697512,38.148323,8.019761,48.45
2015-10-01,225.39948,413.113150752529,20.026197,38.127068,8.071136,46.23116666666667
2015-11-01,228.75528,380.732425363928,18.11076,38.134014,8.101311,46.4
2015-12-01,233.23009,356.60780656303973,16.160042,38.185593,8.125357,48.16
2016-01-01,240.22823,333.600947446336,14.355434,38.127106,8.149932,44.605
2016-02-01,247.39375,332.08237848507275,13.70882,38.094715,8.151922,44.095
2016-03-01,251.22897,333.54466321243524,13.606356,38.043365,8.150386,42.945
2016-04-01,252.0005,357.131566740686,15.392876,38.07612,8.125875,44.84
2016-05-01,251.01344,375.51910189982726,17.744007,37.95443,8.1089115,41.4
2016-06-01,240.11978,421.1492425363928,20.742905,37.841022,8.068635,38.18
2016-07-01,233.49321,499.75622995312114,23.46564,38.014034,8.016317,38.6
2016-08-01,232.32162,502.4769800148039,23.467884,38.100075,8.010098,37.3755
2016-09-01,225.18031,488.0417665926474,23.53053,38.076828,8.011835,29.67
2016-10-01,224.78195,438.28810264001976,21.27098,38.12478,8.048917,33.69
2016-11-01,226.71048,390.5481569207994,18.486227,38.19731,8.09198,32.89
2016-12-01,234.61098,359.59796693807056,16.089588,38.251728,8.122323,33.685
2017-01-01,245.06316,330.71848013816924,13.841768,38.193523,8.153762,32.36
2017-02-01,249.76001,334.96969158647914,13.487761,38.23916,8.148998,31.01
2017-03-01,253.52505,340.114038983469,13.901741,38.227444,8.1439295,32.185
2017-04-01,253.16312,365.9320799407846,15.686401,38.235664,8.1188135,31.66
2017-05-01,252.60464,382.1251418702196,18.010971,38.157883,8.100024,29.89
2017-06-01,237.95657,462.908403651616,23.452477,38.169983,8.036703,28.45
2017-07-01,219.78098,523.7347643720701,25.30756,38.302486,7.988674,30.643
2017-08-01,216.5532,536.0344830989391,26.01582,38.37082,7.979584,30.452222222222222
2017-09-01,220.26627,475.7456698741673,23.182648,38.21051,8.019378,29.685
2017-10-01,226.38654,428.95637799161113,20.623245,38.184254,8.056987,29.025
2017-11-01,233.72113,383.8380162842339,17.693136,38.14914,8.098254,30.855
2017-12-01,240.96532,350.2573106340982,14.954855,38.253113,8.132429,31.31
2018-01-01,247.27603,335.0446582778189,13.63836,38.26156,8.1490345,28.4937037037037
2018-02-01,248.99567,326.6560078953861,12.904256,38.17131,8.157944,26.775
2018-03-01,253.29446,330.13341228719463,13.014369,38.136303,8.154411,27.4
2018-04-01,255.49298,358.43562792992844,15.156139,38.10257,8.129486,28.31
2018-05-01,248.7077,402.1753762644954,18.721989,38.010365,8.083122,27.663333333333338
2018-06-01,255.70337,395.8791709844559,21.504547,37.793564,8.081385,25.42
2018-07-01,237.03198,495.4544288181594,25.27214,37.93113,8.013584,27.298703703703705
2018-08-01,228.22377,545.9381593881076,26.231966,38.13013,7.9791884,27.298703703703705
2018-09-01,227.0495,501.2831482852208,24.740644,38.170944,8.001318,27.22
2018-10-01,223.71286,441.6617813964964,21.531185,38.210346,8.047396,27.73
2018-11-01,225.87984,398.84641500123365,19.040503,38.117733,8.083859,27.265
2018-12-01,232.32173,360.9159141376758,16.44204,38.116753,8.120506,27.905
2019-01-01,239.51854,334.87046632124355,14.579895,38.088863,8.1482,25.798333333333332
2019-02-01,247.02643,327.6765655070318,13.584141,38.030697,8.156005,18.65
2019-03-01,253.18567,331.4102442635085,13.539683,38.025043,8.152596,27.886666666666667
2019-04-01,254.16766,353.3313989637306,14.737988,37.96835,8.1297655,25.55
2019-05-01,248.78204,385.754749568221,16.640787,37.926834,8.10043,25.328333333333333
2019-06-01,240.60388,459.566938070565,21.07783,37.92409,8.042548,24.18
2019-07-01,227.61572,536.5732050333087,26.272633,37.919815,7.981953,24.808958333333333
2019-08-01,219.85654,535.6647421662966,26.582312,37.892506,7.97874,24.941296296296297
2019-09-01,224.18657,494.9686158401185,23.996284,37.97244,8.005153,25.365
2019-10-01,223.4251,449.9405872193437,21.651327,38.047028,8.0392885,25.825
2019-11-01,225.53152,400.02758450530473,18.933498,37.95359,8.082403,25.885
2019-12-01,235.21748,367.6649099432519,16.449665,37.92553,8.112761,25.130000000000003
2020-01-01,240.88766,347.753269183321,14.864093,37.98316,8.133636,26.0
2020-02-01,247.7515,336.2721243523316,13.987077,37.96484,8.146508,26.4
2020-03-01,252.04935,336.55373303725634,13.838239,38.00438,8.146907,26.79
2020-04-01,259.50235,339.44623735504564,14.903613,37.989613,8.14574,24.35
2020-05-01,243.54485,417.6216136195411,18.409725,38.044586,8.070667,22.615
2020-06-01,233.68646,476.5574734764372,21.884537,37.973907,8.02224,22.06
2020-07-01,232.99635,514.4055563779916,24.462046,37.881535,7.998579,23.697499999999998
2020-08-01,224.99115,542.4778090303479,25.840149,38.019573,7.9772587,23.9595
2020-09-01,218.93633,505.41287934863067,24.737894,38.046036,7.9967837,22.67
2020-10-01,222.6784,426.8037503084136,20.468555,37.97332,8.058029,21.83
2020-11-01,230.15668,386.0641894892672,18.123714,37.95936,8.09505,20.61
2020-12-01,237.53743,356.8774734764372,15.54563,37.91962,8.123791,23.65
2021-01-01,243.00244,338.5855613126079,14.083307,37.58922,8.143984,28.62
2021-02-01,249.14687,332.17340241796205,13.453329,37.611313,8.151694,21.635
2021-03-01,253.08969,337.81656057241554,14.032965,37.830536,8.145771,29.31
2021-04-01,252.04883,353.8239328892179,14.8044195,38.010254,8.129434,24.464285714285715
2021-05-01,247.86795,388.5833703429559,16.984718,37.98503,8.096331,25.595
2021-06-01,233.5751,486.425798174192,22.287766,38.03489,8.0212,27.372857142857146
2021-07-01,219.8404,,24.842209,38.08145,7.990285,27.993333333333336
2021-08-01,212.60783,535.2223044658277,25.54368,38.132553,7.9803762,27.868000000000002
2021-09-01,214.07732,495.0806809770541,24.07521,38.1874,8.006233,29.42625
2021-10-01,220.58939,426.5735011102887,20.689499,38.126755,8.060968,35.28
2021-11-01,229.5865,389.56550703182825,17.880283,38.16513,8.092705,27.52
2021-12-01,235.45828,360.5269775474957,15.795411,38.104263,8.1201,27.770000000000003
2022-01-01,241.1975,337.82180113496173,14.255083,38.054173,8.144557,27.770000000000003
2022-02-01,247.26138,325.73876141130023,13.478844,38.005478,8.158511,27.770000000000003
2022-03-01,253.45485,322.2213175425611,13.293647,38.05516,8.163572,20.18
2022-04-01,254.05838,351.2175277572169,14.3188095,38.115654,8.132866,28.1
