Datetime,ID,EC50
2003-02-01,1,28.97
2003-03-01,2,36.07
2003-03-01,3,43.47
2003-04-01,4,53.0
2003-04-01,5,57.88
2003-05-01,6,18.56
2003-05-01,7,29.74
2004-01-01,8,66.94
2004-02-01,9,44.69
2004-02-01,10,44.11
2004-03-01,11,34.4
2004-03-01,12,36.86
2004-05-01,13,43.38
2004-05-01,14,41.52
2004-06-01,15,41.15
2004-06-01,16,54.66
2004-11-01,17,41.52
2004-12-01,18,57.01
2004-12-01,19,30.97
2005-01-01,20,36.81
2005-01-01,21,50.37
2005-02-01,22,50.07
2005-04-01,23,61.43
2005-05-01,24,44.63
2005-05-01,25,66.35
2005-10-01,31,57.53
2006-03-01,28,57.65
2006-04-01,29,53.65
2006-05-01,26,63.28
2006-06-01,27,15.89
2006-10-01,30,52.15
2007-02-01,32,37.2
2007-05-01,33,43.0
2008-01-16,34,39.88
2008-03-10,35,36.14
2008-06-03,36,47.18
2008-07-01,37,52.76
2008-09-01,38,35.38
2008-12-30,39,52.76
2009-01-01,40,40.98
2009-01-01,41,41.03
2009-02-01,43,43.07
2009-12-01,42,52.28
2010-02-01,44,54.04
2010-03-01,46,43.12
2010-03-12,284,41.76
2010-03-26,45,45.84
2010-04-01,47,39.18
2010-04-01,48,38.83
2010-05-01,49,40.17
2010-05-01,50,40.15
2010-05-01,51,43.61
2010-05-01,55,43.94
2010-05-02,52,45.84
2010-06-01,54,56.24
2010-07-01,53,42.08
2010-09-01,56,39.84
2010-10-01,57,42.32
2010-10-01,58,44.69
2010-11-01,59,44.11
2010-11-01,60,43.12
2010-11-01,61,44.89
2010-11-05,287,36.07
2010-11-15,286,28.97
2010-11-26,285,28.54
2010-12-01,62,49.97
2011-01-01,63,51.13
2011-02-01,64,53.67
2011-03-01,65,43.12
2011-04-01,66,44.06
2011-05-01,67,37.89
2011-06-01,288,43.07
2011-09-01,68,38.17
2011-10-01,69,42.13
2011-10-03,289,46.26
2011-11-01,70,45.53
2011-11-01,71,47.23
2011-12-01,72,53.08
2011-12-01,73,52.67
2011-12-01,74,56.17
2012-01-01,75,55.36
2012-01-01,76,53.18
2012-02-01,77,55.16
2012-02-01,78,48.45
2012-03-01,79,43.21
2012-03-01,80,44.04
2012-04-01,81,42.17
2012-04-01,82,39.78
2012-05-01,83,54.23
2012-05-01,84,34.56
2012-09-01,85,42.12
2012-10-01,86,44.45
2012-10-01,87,42.37
2013-01-01,88,54.27
2013-01-02,89,50.18
2013-01-03,90,51.1
2013-02-01,91,56.22
2013-02-01,92,59.25
2013-02-02,93,50.52
2013-02-03,94,52.13
2013-03-01,95,60.45
2013-03-02,96,58.36
2013-04-01,97,51.23
2013-04-02,98,51.63
2013-05-01,99,60.25
2013-05-02,290,56.71
2013-07-01,291,41.24
2013-09-01,100,56.16
2013-09-02,101,54.98
2013-10-01,102,49.89
2013-10-02,103,53.18
2013-11-01,104,48.59
2013-11-02,105,49.52
2013-12-01,106,48.27
2013-12-02,107,47.98
2014-01-01,108,48.16
2014-01-01,117,53.69
2014-01-02,109,48.61
2014-01-02,118,43.12
2014-01-03,119,44.89
2014-02-01,110,49.22
2014-02-02,111,44.28
2014-03-01,112,46.37
2014-03-01,113,45.77
2014-03-01,120,53.02
2014-03-02,121,44.06
2014-03-03,122,40.73
2014-04-01,114,49.13
2014-04-01,292,52.15
2014-04-02,115,50.37
2014-04-08,293,35.93
2014-04-16,294,51.08
2014-05-01,116,51.19
2014-05-01,123,47.18
2014-05-02,124,37.64
2014-05-03,125,42.64
2014-05-05,295,52.65
2014-07-01,126,49.49
2014-08-01,127,46.81
2014-09-01,128,52.91
2014-09-02,129,56.17
2014-09-03,130,49.97
2014-11-01,131,52.64
2014-11-02,132,55.36
2014-11-03,133,48.45
2014-12-01,134,49.54
2014-12-02,135,46.83
2015-01-01,136,47.35
2015-01-02,137,48.23
2015-02-01,138,46.55
2015-02-02,139,47.41
2015-03-01,140,48.13
2015-03-01,141,44.26
2015-04-01,142,46.25
2015-04-01,143,47.09
2015-05-01,144,44.92
2015-05-01,145,47.26
2015-05-01,146,45.72
2015-06-01,147,45.26
2015-06-02,148,48.24
2015-07-01,149,48.27
2015-09-01,150,48.45
2015-11-01,151,47.48
2015-11-01,153,45.32
2015-12-01,152,48.16
2016-01-01,154,44.35
2016-01-02,155,44.86
2016-02-01,156,46.03
2016-02-01,157,42.16
2016-03-01,158,42.13
2016-03-01,159,43.76
2016-04-01,160,44.05
2016-04-01,161,45.63
2016-05-01,162,43.06
2016-05-01,163,40.25
2016-05-01,164,40.89
2016-06-01,165,38.18
2016-09-01,166,29.67
2016-10-01,167,33.12
2016-10-01,168,34.26
2016-11-01,169,32.69
2016-11-01,170,33.09
2016-12-01,171,34.12
2016-12-01,172,33.25
2017-01-01,173,35.03
2017-01-01,174,29.69
2017-02-01,175,29.54
2017-02-02,176,32.48
2017-03-01,177,32.62
2017-03-02,178,31.75
2017-04-01,179,32.08
2017-04-02,180,31.24
2017-05-01,181,30.13
2017-05-02,182,29.65
2017-06-01,183,28.45
2017-09-01,184,29.23
2017-09-02,185,30.14
2017-10-01,186,29.26
2017-10-02,187,28.79
2017-11-01,188,30.15
2017-11-01,189,31.56
2017-12-01,190,31.99
2017-12-01,191,30.63
2018-02-01,192,26.31
2018-02-01,193,27.24
2018-03-01,194,28.26
2018-03-02,195,26.54
2018-04-01,196,28.16
2018-04-01,197,28.46
2018-05-01,198,29.36
2018-05-01,199,27.26
2018-05-01,200,26.37
2018-06-01,201,25.42
2018-09-01,202,26.08
2018-09-02,203,28.36
2018-10-01,204,27.99
2018-10-02,205,27.47
2018-11-01,206,28.14
2018-11-01,207,26.39
2018-12-01,208,28.25
2018-12-01,209,27.56
2019-02-01,210,18.65
2019-03-01,211,24.63
2019-03-02,212,29.13
2019-03-03,213,29.9
2019-04-01,214,25.55
2019-06-01,215,24.18
2019-09-01,216,26.34
2019-09-02,217,24.39
2019-10-01,218,25.18
2019-10-02,219,26.47
2019-11-01,220,25.63
2019-11-01,221,26.14
2019-12-01,222,25.39
2019-12-01,223,24.87
2020-01-01,224,26.07
2020-01-02,225,25.93
2020-02-01,226,26.31
2020-02-02,227,26.49
2020-03-01,228,26.79
2020-04-01,229,24.24
2020-04-02,230,24.46
2020-05-01,231,22.18
2020-05-02,232,23.05
2020-06-01,233,22.06
2020-09-01,234,23.16
2020-09-02,235,22.18
2020-10-01,236,21.83
2020-11-01,237,19.18
2020-11-01,238,22.04
2020-12-01,239,23.65
2021-01-18,240,28.62
2021-02-23,241,20.34
2021-02-26,242,22.93
2021-03-19,243,29.31
2021-05-11,244,25.34
2021-05-24,245,25.85
2021-10-12,246,33.94
2021-10-13,247,36.62
2021-11-08,248,27.52
2022-03-08,249,22.14
2022-03-16,250,19.4
2022-03-29,251,19.0
2022-04-05,252,28.1
2022-10-12,253,14.7
2022-10-19,254,20.5
2022-10-26,255,23.1
2023-03-03,256,16.8
2023-03-12,257,17.8
2023-05-08,258,30.82
2023-12-18,259,11.71
2024-02-06,260,10.38
2024-02-13,261,18.81
2024-02-15,262,27.48
2024-02-20,263,22.19
2024-04-09,264,21.02
2024-10-11,265,24.54
2024-11-29,266,28.05
2025-01-31,267,25.53
2025-02-03,268,48.75
2025-03-04,269,36.94
2025-03-07,270,24.27
2025-03-14,271,27.5
2025-04-04,272,32.41
2025-04-11,273,31.35
2025-05-12,274,24.48
2025-10-13,275,14.37
2025-11-10,276,20.75
2025-12-02,277,12.26
2025-12-12,278,23.53
2026-03-09,279,19.55
2026-03-11,280,26.8
2026-04-07,281,31.03
2026-05-12,282,24.27
2026-05-18,283,23.31
