Datetime,EC50,EC50_ci_upper,EC50_ci_lower,EC50_n
2003-02-01,28.97,31.52,26.63,1
2003-03-01,39.769999999999996,47.022,32.517999999999994,2
2003-04-01,55.44,60.2224,50.657599999999995,2
2003-05-01,24.15,35.1064,13.193599999999998,2
2004-01-01,66.94,70.73,63.34,1
2004-02-01,44.4,46.695,42.215,2
2004-03-01,35.629999999999995,38.0408,33.219199999999994,2
2004-05-01,42.45,45.225,39.85,2
2004-06-01,47.905,61.14479999999999,34.66520000000001,2
2004-11-01,41.52,44.54,38.71,1
2004-12-01,43.989999999999995,69.50919999999999,18.470800000000004,2
2005-01-01,43.59,56.8788,30.301200000000012,2
2005-02-01,50.07,52.48,47.76,1
2005-04-01,61.43,63.56,59.37,1
2005-05-01,55.489999999999995,76.7756,34.2044,2
2005-10-01,57.53,64.52,47.25,1
2006-03-01,57.65,60.47,54.96,1
2006-04-01,53.65,58.47,49.66,1
2006-05-01,63.28,67.28,59.39,1
2006-06-01,15.89,17.56,14.38,1
2006-10-01,52.15,57.41,42.09,1
2007-02-01,37.2,40.86,33.87,1
2007-05-01,43.0,47.14,41.56,1
2008-01-01,39.88,42.05,37.83,1
2008-03-01,36.14,38.02,34.34,1
2008-06-01,47.18,56.12,39.66,1
2008-07-01,52.76,56.27,49.46,1
2008-09-01,35.38,37.79,33.11,1
2008-12-01,52.76,56.27,49.46,1
2009-01-01,41.004999999999995,43.75999999999999,38.42,2
2009-02-01,43.07,45.07,40.48,1
2009-12-01,52.28,55.72,49.05,1
2010-02-01,54.04,55.39,52.72,1
2010-03-01,44.480000000000004,48.690000000000005,41.285000000000004,2
2010-04-01,39.004999999999995,42.669999999999995,33.605,2
2010-05-01,42.742000000000004,47.30800000000001,38.76200000000001,5
2010-06-01,56.24,58.11,53.79,1
2010-07-01,42.08,45.74,39.18,1
2010-09-01,39.84,43.12,38.15,1
2010-10-01,43.504999999999995,46.77499999999999,40.50999999999999,2
2010-11-01,44.04,48.10666666666667,40.56,3
2010-12-01,49.97,54.43,46.75,1
2011-01-01,51.13,53.63,47.43,1
