event_id,start_date,end_date,peak_date,duration_days,intensity_max,intensity_mean,intensity_cumulative,intensity_norm_max,category,year,start_month
1,2003-05-12,2003-05-16,2003-05-13,5,0.539118527272727,0.24543378909090877,1.2271689454545438,1.5653421705483785,Moderate,2003,5
2,2003-06-03,2003-07-06,2003-06-09,34,2.1366745090909127,0.8671040304812843,29.481537036363665,2.6186609049069607,Strong,2003,6
3,2003-07-13,2003-08-01,2003-07-28,20,0.5361169818181821,0.2630339686363635,5.260679372727271,1.4117749894976555,Moderate,2003,7
4,2003-08-06,2003-09-04,2003-08-17,30,1.3002481818181835,0.7810334554545455,23.431003663636364,1.9865100088932524,Moderate,2003,8
5,2004-11-04,2004-11-11,2004-11-07,8,0.3153514090909084,0.16672933636363618,1.3338346909090895,1.3464183448218714,Moderate,2004,11
6,2005-06-03,2005-06-09,2005-06-06,7,0.6674917727272742,0.35978274285714207,2.5184791999999945,1.4941957250267426,Moderate,2005,6
7,2005-06-26,2005-07-02,2005-06-30,7,0.44590855454545775,0.15726129220779278,1.1008290454545495,1.3387869627381446,Moderate,2005,6
8,2005-11-08,2005-11-15,2005-11-12,8,0.08817280909090641,0.042641855681818,0.341134845454544,1.1014540393230814,Moderate,2005,11
9,2006-07-26,2006-08-04,2006-08-01,10,0.7913356999999941,0.4458158999999998,4.458158999999998,1.5941239265159104,Moderate,2006,7
10,2006-10-25,2007-03-29,2007-02-16,156,1.2173255772727298,0.5526776083041961,86.21770689545458,3.480944477046497,Severe,2006,10
11,2007-04-12,2007-05-29,2007-04-25,48,1.776941490909092,0.799743167045455,38.38767201818184,3.98510566945472,Severe,2007,4
12,2008-07-02,2008-07-06,2008-07-03,5,0.4635101999999982,0.19353356909090919,0.967667845454546,1.4527405015511465,Moderate,2008,7
13,2008-08-05,2008-08-11,2008-08-08,7,0.34177100909090896,0.15594434285714293,1.0916104000000004,1.2684664671985428,Moderate,2008,8
14,2008-09-07,2008-09-16,2008-09-12,10,0.3949751363636338,0.1455719372727266,1.4557193727272661,1.548299804572128,Moderate,2008,9
15,2009-05-23,2009-05-31,2009-05-27,9,1.2338981727272724,0.4177988545454549,3.760189690909094,2.048260840868489,Strong,2009,5
16,2009-06-15,2009-06-22,2009-06-19,8,0.4310518000000023,0.19905228750000026,1.592418300000002,1.3126295796410885,Moderate,2009,6
17,2009-08-21,2009-08-25,2009-08-22,5,0.2797059272727296,0.1211158381818187,0.6055791909090935,1.184886293913585,Moderate,2009,8
18,2009-08-28,2009-09-08,2009-09-05,12,0.8381188090909113,0.35640487500000023,4.276858500000003,1.9561861942760101,Moderate,2009,8
19,2009-09-27,2009-10-18,2009-10-12,22,0.6381603818181816,0.28304587933884195,6.227009345454523,1.878555497111158,Moderate,2009,9
20,2010-07-12,2010-07-20,2010-07-15,9,1.3965867000000003,0.7166590080808071,6.449931072727264,2.1271610300888093,Strong,2010,7
21,2011-04-05,2011-04-15,2011-04-12,11,0.8797897227272724,0.31279527892561987,3.4407480681818186,2.1900199653887054,Strong,2011,4
22,2011-09-12,2011-09-30,2011-09-17,19,0.701965154545455,0.23519540478468876,4.468712690909086,2.123593880943318,Strong,2011,9
23,2011-10-03,2011-10-09,2011-10-06,7,0.211341272727271,0.08581902467532387,0.6007331727272671,1.28908313656087,Moderate,2011,10
24,2011-12-11,2011-12-17,2011-12-15,7,0.026781236363639493,0.011405746753247062,0.07984022727272944,1.0319153367607605,Moderate,2011,12
25,2012-01-01,2012-01-08,2012-01-02,8,0.03106342727272704,0.009141255681818228,0.07313004545454582,1.048970967158174,Moderate,2012,1
26,2012-01-11,2012-01-16,2012-01-13,6,0.08281280909091038,0.039041215151514784,0.2342472909090887,1.1266501378209064,Moderate,2012,1
27,2012-01-21,2012-01-25,2012-01-22,5,0.1518140590909116,0.06114891909090971,0.3057445954545486,1.2074431750509727,Moderate,2012,1
28,2012-01-27,2012-01-31,2012-01-28,5,0.1355062272727281,0.04974540545454538,0.24872702727272689,1.1783159224500286,Moderate,2012,1
29,2012-03-24,2012-04-09,2012-04-01,17,0.4470580409090914,0.20289778823529414,3.4492624000000003,1.9440457628736454,Moderate,2012,3
30,2012-07-07,2012-07-14,2012-07-12,8,0.2521104636363596,0.12822255681818095,1.0257804545454476,1.2182984692983052,Moderate,2012,7
31,2012-10-12,2012-10-30,2012-10-23,19,0.41874991818181684,0.2131678875598091,4.050189863636373,1.463470866761473,Moderate,2012,10
32,2013-04-17,2013-04-22,2013-04-19,6,0.5941761545454565,0.24798065757575807,1.4878839454545485,1.935088742641746,Moderate,2013,4
33,2013-10-25,2013-11-16,2013-11-07,23,0.5715490727272723,0.3087506869565213,7.1012657999999895,1.6357685961364665,Moderate,2013,10
34,2014-01-01,2014-04-04,2014-02-23,94,1.277325390909093,0.39669982088974903,37.28978316363641,3.9766384760549647,Severe,2014,1
35,2014-04-07,2014-04-20,2014-04-14,14,0.6601604045454543,0.22218418701298784,3.1105786181818296,1.939158876150156,Moderate,2014,4
36,2014-04-23,2014-04-29,2014-04-24,7,0.16161965454545246,0.08780794025974055,0.6146555818181838,1.274359851750727,Moderate,2014,4
37,2014-09-20,2014-10-31,2014-10-21,42,1.5789164818181831,0.508544488095238,21.358868499999996,2.9613593796604416,Strong,2014,9
38,2014-11-05,2015-02-08,2015-01-05,96,1.5322892818181817,0.755077712215909,72.48746037272727,3.4203521197345577,Severe,2014,11
39,2015-02-11,2015-03-16,2015-03-04,34,0.40830368636363623,0.2537099374331553,8.626137872727279,1.9246059724433895,Moderate,2015,2
40,2015-04-24,2015-04-28,2015-04-25,5,0.10162949090909379,0.04900064545454619,0.24500322727273094,1.1707286205249925,Moderate,2015,4
41,2015-06-09,2015-06-19,2015-06-12,11,1.4448131727272724,0.607156685123967,6.678723536363638,2.154542672242702,Strong,2015,6
42,2015-07-04,2015-07-28,2015-07-20,25,1.6817101636363638,0.7779725843636359,19.449314609090898,2.64371760661589,Strong,2015,7
43,2015-12-19,2016-01-15,2015-12-30,28,0.3456841909090915,0.1671405879870131,4.679936463636366,1.5359502003425196,Moderate,2015,12
44,2016-02-01,2016-03-12,2016-02-24,41,0.5485468181818174,0.37149557671840405,15.231318645454566,2.2620902385793245,Strong,2016,2
45,2016-04-01,2016-04-10,2016-04-07,10,0.35146314999999895,0.15930068227272737,1.5930068227272738,1.5181069211821792,Moderate,2016,4
46,2016-04-14,2016-04-25,2016-04-20,12,0.2370760636363638,0.11310553143939472,1.3572663772727367,1.3832955906349003,Moderate,2016,4
47,2016-09-29,2016-10-07,2016-10-04,9,0.10001319090909178,0.038529164646463464,0.34676248181817115,1.1378678323633997,Moderate,2016,9
48,2016-10-26,2016-11-04,2016-11-02,10,0.10971339090908927,0.05765454181818228,0.5765454181818228,1.1195872657039065,Moderate,2016,10
49,2016-11-24,2016-11-30,2016-11-27,7,0.12755347272727136,0.055464867532467314,0.3882540727272712,1.2244614555517532,Moderate,2016,11
50,2016-12-24,2017-01-07,2017-01-02,15,0.18175942727272698,0.11103449636363613,1.665517445454542,1.2865406597125886,Moderate,2016,12
51,2017-02-03,2017-02-10,2017-02-05,8,0.24890938636363735,0.14327444431818304,1.1461955545454643,1.4982057381824088,Moderate,2017,2
52,2017-02-13,2017-04-26,2017-04-16,73,1.402044309090913,0.4319998062266503,31.535985854545473,2.9469102729642502,Strong,2017,2
53,2017-05-30,2017-06-30,2017-06-17,32,1.5309981181818202,0.7037879116477276,22.521213172727283,2.1459792535326123,Strong,2017,5
54,2017-08-02,2017-08-12,2017-08-09,11,1.020648009090909,0.5298180016528931,5.827998018181823,1.8017349569312877,Moderate,2017,8
55,2018-04-21,2018-05-13,2018-04-29,23,1.822313727272725,0.6620795525691703,15.227829709090916,4.157630719071869,Extreme,2018,4
56,2018-05-28,2018-06-06,2018-05-31,10,0.7138053727272755,0.23026967181818137,2.3026967181818137,1.586602717256498,Moderate,2018,5
57,2018-07-14,2018-07-23,2018-07-15,10,0.24614070000000154,0.09076021363636322,0.9076021363636322,1.1986559122743918,Moderate,2018,7
58,2018-08-02,2018-08-17,2018-08-09,16,1.5270370090909111,0.7165287329545458,11.464459727272732,2.1995114278491066,Strong,2018,8
59,2018-09-09,2018-10-03,2018-09-24,25,1.805104727272731,0.7285762614545451,18.21440653636363,4.955993491051194,Extreme,2018,9
60,2018-10-14,2018-12-13,2018-10-21,61,0.6411444818181842,0.2478423958271236,15.11838614545454,1.921557563688501,Moderate,2018,10
61,2018-12-23,2019-01-22,2019-01-01,31,0.5829882454545459,0.26005685542521995,8.061762518181819,1.9118832817055942,Moderate,2018,12
62,2019-02-02,2019-03-14,2019-02-17,41,0.5209717409090899,0.2625617695121956,10.76503255000002,2.0883977213781586,Strong,2019,2
63,2019-03-16,2019-03-20,2019-03-16,5,0.08561497727272815,0.030845237272727387,0.15422618636363694,1.1347967438282878,Moderate,2019,3
64,2019-07-01,2019-07-17,2019-07-07,17,2.290123536363634,1.2725264181818183,21.632949109090912,3.430762411166149,Severe,2019,7
65,2019-07-24,2019-07-29,2019-07-26,6,0.946528463636362,0.3499032333333337,2.099419400000002,1.573536322197203,Moderate,2019,7
66,2019-08-05,2019-08-17,2019-08-12,13,0.5639450454545454,0.1851619167832174,2.407104918181826,1.4273251566069567,Moderate,2019,8
67,2019-08-29,2019-09-07,2019-09-02,10,0.6759321181818159,0.24853449454545498,2.4853449454545498,1.5903400000166734,Moderate,2019,8
68,2019-09-30,2019-10-04,2019-10-01,5,0.12504530000000003,0.04036096181818109,0.20180480909090548,1.180201938563888,Moderate,2019,9
69,2019-10-15,2019-11-12,2019-10-31,29,0.6981285727272706,0.3616335037617554,10.487371609090907,1.7173562371511737,Moderate,2019,10
70,2019-11-14,2019-12-05,2019-11-27,22,0.1980279454545446,0.06699809710743843,1.4739581363636454,1.3646047327379462,Moderate,2019,11
71,2019-12-17,2020-01-23,2020-01-05,38,0.5875942818181805,0.33457279437799053,12.71376618636364,1.9281439754345888,Moderate,2019,12
72,2020-01-25,2020-03-26,2020-02-24,62,0.9397368181818173,0.5242749711876835,32.50504821363638,3.162135711573394,Severe,2020,1
