Datetime,EC50,EC50_ci_upper,EC50_ci_lower,EC50_n,EC50_imputed
2003-01-01,37.082499999999996,,,,True
2003-02-01,28.97,31.52,26.63,1.0,False
2003-03-01,39.77,47.022,32.517999999999994,2.0,False
2003-04-01,55.44,60.2224,50.6576,2.0,False
2003-05-01,24.15,35.1064,13.193599999999998,2.0,False
2003-06-01,37.082499999999996,,,,True
2003-07-01,37.082499999999996,,,,True
2003-08-01,43.053999999999995,,,,True
2003-09-01,46.14,,,,True
2003-10-01,45.312,,,,True
2003-11-01,42.779999999999994,,,,True
2003-12-01,47.355,,,,True
2004-01-01,66.94,70.73,63.34,1.0,False
2004-02-01,44.4,46.695,42.215,2.0,False
2004-03-01,35.629999999999995,38.0408,33.219199999999994,2.0,False
2004-04-01,47.464999999999996,,,,True
2004-05-01,42.45,45.225,39.85,2.0,False
2004-06-01,47.905,61.14479999999999,34.66520000000001,2.0,False
2004-07-01,46.11928571428571,,,,True
2004-08-01,42.78357142857143,,,,True
2004-09-01,43.59357142857143,,,,True
2004-10-01,44.92083333333334,,,,True
2004-11-01,41.52,44.54,38.71,1.0,False
2004-12-01,43.99,69.50919999999999,18.470800000000004,2.0,False
2005-01-01,43.59,56.8788,30.30120000000001,2.0,False
2005-02-01,50.07,52.48,47.76,1.0,False
2005-03-01,49.34833333333333,,,,True
2005-04-01,61.43,63.56,59.37,1.0,False
2005-05-01,55.49,76.7756,34.2044,2.0,False
2005-06-01,52.01666666666667,,,,True
2005-07-01,53.622,,,,True
2005-08-01,56.13,,,,True
2005-09-01,58.15,,,,True
2005-10-01,57.53,64.52,47.25,1.0,False
2005-11-01,56.08,,,,True
2005-12-01,58.0275,,,,True
2006-01-01,49.6,,,,True
2006-02-01,49.6,,,,True
2006-03-01,57.65,60.47,54.96,1.0,False
2006-04-01,53.65,58.47,49.66,1.0,False
2006-05-01,63.28,67.28,59.39,1.0,False
2006-06-01,15.89,17.56,14.38,1.0,False
2006-07-01,48.524,,,,True
2006-08-01,48.524,,,,True
2006-09-01,46.63666666666666,,,,True
2006-10-01,52.15,57.41,42.09,1.0,False
2006-11-01,42.129999999999995,,,,True
2006-12-01,37.06,,,,True
2007-01-01,44.116666666666674,,,,True
2007-02-01,37.2,40.86,33.87,1.0,False
2007-03-01,44.116666666666674,,,,True
2007-04-01,44.116666666666674,,,,True
2007-05-01,43.0,47.14,41.56,1.0,False
2007-06-01,,,,,True
2007-07-01,,,,,True
2007-08-01,40.02666666666667,,,,True
2007-09-01,,,,,True
2007-10-01,39.67333333333333,,,,True
2007-11-01,39.67333333333333,,,,True
2007-12-01,,,,,True
2008-01-01,39.88,42.05,37.83,1.0,False
2008-02-01,43.99,,,,True
2008-03-01,36.14,38.02,34.34,1.0,False
2008-04-01,42.268,,,,True
2008-05-01,42.268,,,,True
2008-06-01,47.18,56.12,39.66,1.0,False
2008-07-01,52.76,56.27,49.46,1.0,False
2008-08-01,44.20416666666667,,,,True
2008-09-01,35.38,37.79,33.11,1.0,False
2008-10-01,45.35916666666666,,,,True
2008-11-01,45.35916666666666,,,,True
2008-12-01,52.76,56.27,49.46,1.0,False
2009-01-01,41.005,43.75999999999999,38.42,2.0,False
2009-02-01,43.07,45.07,40.48,1.0,False
2009-03-01,43.05375,,,,True
2009-04-01,45.61166666666667,,,,True
2009-05-01,45.61166666666667,,,,True
2009-06-01,45.61166666666667,,,,True
2009-07-01,45.451666666666675,,,,True
2009-08-01,,,,,True
2009-09-01,,,,,True
2009-10-01,50.26666666666667,,,,True
2009-11-01,47.45125,,,,True
2009-12-01,52.28,55.72,49.05,1.0,False
2010-01-01,48.131166666666665,,,,True
2010-02-01,54.04,55.39,52.72,1.0,False
2010-03-01,44.48,48.690000000000005,41.285,2.0,False
2010-04-01,39.005,42.67,33.605,2.0,False
2010-05-01,42.742,47.30800000000001,38.76200000000001,5.0,False
2010-06-01,56.24,58.11,53.79,1.0,False
2010-07-01,42.08,45.74,39.18,1.0,False
2010-08-01,46.097454545454546,,,,True
2010-09-01,39.84,43.12,38.15,1.0,False
2010-10-01,43.505,46.77499999999999,40.50999999999999,2.0,False
2010-11-01,44.04,48.10666666666667,40.56,3.0,False
2010-12-01,49.97,54.43,46.75,1.0,False
2011-01-01,51.13,53.63,47.43,1.0,False
2011-02-01,53.67,58.73,50.44,1.0,False
2011-03-01,43.12,44.43,40.15,1.0,False
2011-04-01,44.06,47.43,41.23,1.0,False
2011-05-01,37.89,43.29,35.01,1.0,False
2011-06-01,45.16888888888889,,,,True
2011-07-01,45.613703703703706,,,,True
2011-08-01,45.962592592592586,,,,True
2011-09-01,38.17,44.43,36.85,1.0,False
2011-10-01,42.13,44.43,40.15,1.0,False
2011-11-01,46.38,48.89,43.225,2.0,False
2011-12-01,53.973333333333336,56.57666666666667,50.083333333333336,3.0,False
2012-01-01,54.27,56.40639999999999,51.89999999999999,2.0,False
2012-02-01,51.805,58.3808,45.229200000000006,2.0,False
2012-03-01,43.625,46.925,41.595,2.0,False
2012-04-01,40.975,43.98,38.545,2.0,False
2012-05-01,44.395,63.671599999999984,25.118400000000005,2.0,False
2012-06-01,46.82166666666667,,,,True
2012-07-01,45.800000000000004,,,,True
2012-08-01,45.45428571428572,,,,True
2012-09-01,42.12,44.43,40.15,1.0,False
2012-10-01,43.41,46.265,40.72,2.0,False
2012-11-01,49.59142857142857,,,,True
2012-12-01,51.85642857142857,,,,True
2013-01-01,51.85,54.63,48.92,3.0,False
2013-02-01,54.53,58.40790346450243,50.65209653549757,4.0,False
2013-03-01,59.405,61.865,56.68,2.0,False
2013-04-01,51.43,54.24,49.07,2.0,False
2013-05-01,60.25,62.81,57.29,1.0,False
2013-06-01,54.203125,,,,True
2013-07-01,53.52777777777778,,,,True
2013-08-01,53.066,,,,True
2013-09-01,55.56999999999999,57.795,53.065,2.0,False
2013-10-01,51.535,54.7592,48.31079999999999,2.0,False
2013-11-01,49.05500000000001,51.78,46.34,2.0,False
2013-12-01,48.125,50.855,45.32,2.0,False
2014-01-01,47.694,51.248905119634,44.13909488036601,5.0,False
2014-02-01,46.75,51.5912,41.9088,2.0,False
2014-03-01,45.99,49.93457486885469,42.0454251311453,5.0,False
2014-04-01,49.75,52.86,46.69,2.0,False
2014-05-01,44.6625,50.38668648746993,38.93831351253007,4.0,False
2014-06-01,48.44381666666667,,,,True
2014-07-01,49.49,51.11,47.93,1.0,False
2014-08-01,46.81,50.84,42.06,1.0,False
2014-09-01,53.01666666666667,56.760000000000005,49.02333333333334,3.0,False
2014-10-01,48.50291666666667,,,,True
2014-11-01,52.15,56.08907989933351,48.210920100666485,3.0,False
2014-12-01,48.185,51.3,45.175,2.0,False
2015-01-01,47.79,50.8,44.595,2.0,False
2015-02-01,46.98,49.79,43.95,2.0,False
2015-03-01,46.195,49.9876,42.4024,2.0,False
2015-04-01,46.67,49.71,43.54,2.0,False
2015-05-01,45.96666666666667,48.97,42.653333333333336,3.0,False
2015-06-01,46.75,49.88,43.38,2.0,False
2015-07-01,48.27,52.36,44.13,1.0,False
2015-08-01,46.84466666666667,,,,True
2015-09-01,48.45,53.69,43.31,1.0,False
2015-10-01,46.23116666666667,,,,True
2015-11-01,46.4,49.61,42.675,2.0,False
2015-12-01,48.16,50.22,46.03,1.0,False
2016-01-01,44.605,47.435,41.72500000000001,2.0,False
2016-02-01,44.095,47.887600000000006,40.30239999999999,2.0,False
2016-03-01,42.945,45.74,40.185,2.0,False
2016-04-01,44.84,47.675,41.77,2.0,False
2016-05-01,41.4,44.306666666666665,38.38333333333333,3.0,False
2016-06-01,38.18,40.94,35.25,1.0,False
2016-07-01,38.6,,,,True
2016-08-01,37.3755,,,,True
2016-09-01,29.67,33.21,26.5,1.0,False
2016-10-01,33.69,36.5,30.69,2.0,False
2016-11-01,32.89,35.864999999999995,30.01,2.0,False
2016-12-01,33.685,36.745000000000005,30.620000000000005,2.0,False
2017-01-01,32.36,37.5932,27.126800000000003,2.0,False
2017-02-01,31.01,34.224999999999994,27.945,2.0,False
2017-03-01,32.185,35.205,28.930000000000003,2.0,False
2017-04-01,31.66,34.809999999999995,28.655,2.0,False
2017-05-01,29.89,33.605000000000004,26.735,2.0,False
2017-06-01,28.45,31.57,25.38,1.0,False
2017-07-01,30.642999999999994,,,,True
2017-08-01,30.452222222222222,,,,True
2017-09-01,29.685,32.945,26.61,2.0,False
2017-10-01,29.025,32.28,25.989999999999995,2.0,False
2017-11-01,30.855,34.11,27.32,2.0,False
2017-12-01,31.31,34.92,28.055,2.0,False
2018-01-01,28.4937037037037,,,,True
2018-02-01,26.775,29.015,24.1,2.0,False
2018-03-01,27.4,31.059999999999995,24.01,2.0,False
2018-04-01,28.31,31.62,24.880000000000003,2.0,False
2018-05-01,27.663333333333338,30.733333333333334,24.37333333333334,3.0,False
2018-06-01,25.42,28.75,22.01,1.0,False
2018-07-01,27.298703703703705,,,,True
2018-08-01,27.298703703703705,,,,True
2018-09-01,27.22,30.6,23.845,2.0,False
2018-10-01,27.73,30.97,24.44,2.0,False
2018-11-01,27.265,30.32,23.885,2.0,False
2018-12-01,27.905,31.795,24.665,2.0,False
2019-01-01,25.798333333333332,,,,True
2019-02-01,18.65,21.24,15.54,1.0,False
2019-03-01,27.886666666666667,31.1077987768278,24.66553455650553,3.0,False
2019-04-01,25.55,27.87,22.77,1.0,False
2019-05-01,25.328333333333333,,,,True
2019-06-01,24.18,25.91,21.94,1.0,False
2019-07-01,24.808958333333333,,,,True
2019-08-01,24.941296296296297,,,,True
2019-09-01,25.365,28.31,22.265,2.0,False
2019-10-01,25.825,29.265,22.5,2.0,False
2019-11-01,25.885,29.385,22.43,2.0,False
2019-12-01,25.130000000000003,28.79,21.730000000000004,2.0,False
2020-01-01,26.0,28.86,22.775,2.0,False
2020-02-01,26.4,29.805,22.96,2.0,False
2020-03-01,26.79,30.25,23.34,1.0,False
2020-04-01,24.35,27.880000000000003,20.72,2.0,False
2020-05-01,22.615,25.985,19.435,2.0,False
2020-06-01,22.06,25.71,18.64,1.0,False
2020-07-01,23.697499999999998,,,,True
2020-08-01,23.9595,,,,True
2020-09-01,22.67,26.01,19.020000000000003,2.0,False
2020-10-01,21.83,24.81,17.43,1.0,False
2020-11-01,20.61,23.4128,16.305,2.0,False
2020-12-01,23.65,23.94,21.41,1.0,False
2021-01-01,28.62,31.34,25.33,1.0,False
2021-02-01,21.635,25.265,15.479999999999997,2.0,False
2021-03-01,29.31,30.73,27.68,1.0,False
2021-04-01,24.464285714285715,,,,True
2021-05-01,25.595,27.775,22.925,2.0,False
2021-06-01,27.372857142857146,,,,True
2021-07-01,27.993333333333336,,,,True
2021-08-01,27.868000000000002,,,,True
2021-09-01,29.42625,,,,True
2021-10-01,35.28,37.9064,32.653600000000004,2.0,False
2021-11-01,27.52,27.99,22.7,1.0,False
2021-12-01,27.770000000000003,,,,True
2022-01-01,27.770000000000003,,,,True
2022-02-01,27.770000000000003,,,,True
2022-03-01,20.18,22.114087374792916,18.245912625207087,3.0,False
2022-04-01,28.1,30.1,26.08,1.0,False
2022-05-01,23.808333333333337,,,,True
2022-06-01,22.57111111111111,,,,True
2022-07-01,22.57111111111111,,,,True
2022-08-01,22.57111111111111,,,,True
2022-09-01,22.57111111111111,,,,True
2022-10-01,19.433333333333334,24.29967998947876,14.566986677187906,3.0,False
2022-11-01,,,,,True
2022-12-01,22.517777777777777,,,,True
2023-01-01,22.517777777777777,,,,True
2023-02-01,22.517777777777777,,,,True
2023-03-01,17.3,18.65,15.9,2.0,False
2023-04-01,22.517777777777777,,,,True
2023-05-01,30.82,31.73,30.18,1.0,False
2023-06-01,,,,,True
2023-07-01,19.94333333333333,,,,True
2023-08-01,19.94333333333333,,,,True
2023-09-01,19.88625,,,,True
2023-10-01,20.748333333333335,,,,True
2023-11-01,20.81625,,,,True
2023-12-01,11.71,12.06,11.28,1.0,False
2024-01-01,17.481666666666666,,,,True
2024-02-01,19.715,26.7451391366032,12.6848608633968,4.0,False
2024-03-01,17.481666666666666,,,,True
2024-04-01,21.02,21.58,20.35,1.0,False
2024-05-01,19.24625,,,,True
2024-06-01,21.006999999999998,,,,True
2024-07-01,23.33125,,,,True
2024-08-01,23.771,,,,True
2024-09-01,29.577999999999996,,,,True
2024-10-01,24.54,24.98,24.17,1.0,False
2024-11-01,28.05,28.48,27.55,1.0,False
2024-12-01,30.4,,,,True
2025-01-01,25.53,26.32,24.78,1.0,False
2025-02-01,48.75,55.06,45.6,1.0,False
2025-03-01,29.57,37.02022615853595,22.11977384146405,3.0,False
2025-04-01,31.88,32.9188,30.841200000000004,2.0,False
2025-05-01,24.48,25.8,23.57,1.0,False
2025-06-01,27.904285714285713,,,,True
2025-07-01,26.653125,,,,True
2025-08-01,26.81357142857143,,,,True
2025-09-01,23.1575,,,,True
2025-10-01,14.37,14.83,13.83,1.0,False
2025-11-01,20.75,21.28,20.22,1.0,False
2025-12-01,17.895,28.9396,6.850399999999999,2.0,False
