lag,cumulative_rr,ci_lower,ci_upper,intensity_ref
0,-0.8201125401709574,-2.7687677635289267,1.1285426831870118,0.6780782438920456
1,-1.2290105282034627,-4.105639276900915,1.6476182204939895,0.6780782438920456
2,-1.332038218683731,-4.661992669983654,1.9979162326161921,0.6780782438920456
3,-1.22650362272179,-4.897998262808132,2.4449910173645515,0.6780782438920456
4,-1.0016785079514816,-5.0296750043377205,3.026317988434757,0.6780782438920456
5,-0.738798398530459,-5.105270654260612,3.6276738571996936,0.6780782438920456
6,-0.5110625751401895,-5.150755300640801,4.128630150360422,0.6780782438920456
7,-0.3836340749859525,-5.2512750544465705,4.484006904474666,0.6780782438920456
8,-0.41363969179683613,-5.53811001463154,4.710830631037867,0.6780782438920456
9,-0.6501699758257541,-6.109367933976189,4.80902798232468,0.6780782438920456
10,-1.1342792338494136,-6.9633313229098635,4.694772855211036,0.6780782438920456
11,-1.8989855291683535,-8.063425357195177,4.2654542988584705,0.6780782438920456
12,-2.969270681606912,-9.63848825731337,3.6999468940995452,0.6780782438920456
