lag,n,spearman_r,p_value,spearman_r_nonzero,p_nonzero,n_nonzero
0,158,-0.2383694671632617,0.002560780943828427,-0.06487783027897728,0.5344333338303467,94
1,158,-0.3208415540347459,3.9550980746977404e-05,-0.1516531866252232,0.14453399195377842,94
2,157,-0.3876147431623533,5.29027652368009e-07,-0.24972867606915009,0.018267229070760584,89
3,156,-0.2816315375590638,0.00036852152759668793,-0.2887531069851061,0.007726136531159733,84
4,155,-0.24348992347541526,0.002265879067836735,-0.3582372483877272,0.0007617149607501006,85
5,154,-0.19978189790010853,0.012987033518848634,-0.23796353459274808,0.023913769920500132,90
6,154,-0.29294731617783953,0.00022692655887298504,-0.2384599972257756,0.022074489830452283,92
7,154,-0.2955075369934112,0.00019865616215977814,-0.058615972451530725,0.5918969076090009,86
8,154,-0.33817122798923155,1.790999250065563e-05,-0.12432924977219804,0.25982670977719596,84
9,154,-0.31493536814522716,6.946339898000475e-05,-0.12556252653427047,0.24934337788677782,86
10,154,-0.27712681145574625,0.0005024680028968407,-0.20011916922029285,0.06006722014661173,89
11,154,-0.2465373413298575,0.0020544829929605227,-0.15265941816044665,0.1682675764215701,83
12,154,-0.3468819282888712,1.0469063565829306e-05,-0.1745341614906832,0.09799341544368592,91
