year,event_count,total_mhw_days,mean_duration,max_intensity,mean_intensity,cum_intensity_sum
2003,5,90,18.0,1.9549861545454519,0.42651656399214277,59.672699227272794
2004,3,17,5.666666666666667,0.37732457272727515,0.09090864257575809,1.5856390772727362
2005,6,49,8.166666666666666,0.5011694090909096,0.12688908574585134,6.49341863181818
2006,5,100,20.0,1.0228358681818186,0.27887851899062044,39.12302678181819
2007,4,116,29.0,1.8835201272727247,0.44160998786525973,67.3859365909091
2008,2,14,7.0,0.3209508727272734,0.08255883506493435,1.1558236909090809
2009,7,86,12.285714285714286,1.0896280999999988,0.18371296995746964,18.389871663636384
2010,1,13,13.0,0.5749658181818198,0.26103154755244845,3.39341011818183
2011,6,45,7.5,1.093655568181818,0.15501943090187617,8.801222640909105
2012,6,46,7.666666666666667,0.45470152727272506,0.08542289250194264,4.280401868181823
2013,2,13,6.5,0.3674128545454529,0.08293368125000007,0.9383006545454542
2014,8,204,25.5,1.4701304999999998,0.3573959990936496,86.96211244090912
2015,6,76,12.666666666666666,1.643218272727271,0.4293577959572332,43.20503844090911
2016,8,111,13.875,1.02929465909091,0.15753997568347708,24.442635845454554
2017,3,90,30.0,1.3557349727272712,0.4827171151767682,47.905867309090944
2018,8,169,21.125,2.1394215090909086,0.45550763837349445,88.9665348545455
2019,10,122,12.2,1.7435065272727215,0.26536193868782765,40.16408072727273
2020,5,76,15.2,1.0469775272727233,0.26476288349493404,21.65440286363637
2021,5,71,14.2,0.8973273999999982,0.15504949340463453,16.298956054545453
2022,6,208,34.666666666666664,2.0442706636363646,0.4802472740620856,159.9640223045455
2023,8,215,26.875,1.673176699999999,0.39347355101112613,110.48083515000003
2024,7,200,28.571428571428573,2.797657772727277,0.4432462678159435,144.4468380954546
2025,8,186,23.25,2.4305040181818214,0.36130461029261063,92.17165238636366
