driver,variable,lag,spearman_r,p_value,n
mhw_peak_intensity,O2,0,-0.05040184317840105,0.39997951999602477,281
mhw_peak_intensity,O2,1,-0.06646221799476305,0.2676992592462908,280
mhw_peak_intensity,O2,2,-0.04861806407408635,0.4185644007572189,279
mhw_peak_intensity,O2,3,-0.08822800848642152,0.14229732502803746,278
mhw_peak_intensity,O2,4,-0.12532959035377253,0.03709706429145147,277
mhw_peak_intensity,O2,5,-0.08171116279733452,0.17586677809325216,276
mhw_peak_intensity,O2,6,-0.04134906667436023,0.49469185511043423,275
mhw_peak_intensity,O2,7,-0.009546366042716409,0.8750071233857317,274
mhw_peak_intensity,O2,8,-0.005926823284058149,0.9223462360393277,273
mhw_peak_intensity,O2,9,0.02589704630077975,0.6706840369977215,272
mhw_peak_intensity,O2,10,0.04690266020307263,0.4419113931175893,271
mhw_peak_intensity,O2,11,-0.009208173866125277,0.8802857843483138,270
mhw_peak_intensity,O2,12,0.013504349380729561,0.8255079171001255,269
mhw_peak_intensity,CO2,0,0.1209099070839057,0.04284472036513105,281
mhw_peak_intensity,CO2,1,0.05415265865271605,0.3666552703960454,280
mhw_peak_intensity,CO2,2,0.06007802053288245,0.317359394039126,279
mhw_peak_intensity,CO2,3,0.06811730073260594,0.25765956237840854,278
mhw_peak_intensity,CO2,4,0.06293693659105049,0.29658821852399153,277
mhw_peak_intensity,CO2,5,0.026578958633581146,0.6602004044440908,276
mhw_peak_intensity,CO2,6,-0.016245347797236086,0.7885536813877155,275
mhw_peak_intensity,CO2,7,-0.032425676513267755,0.5930459880870067,274
mhw_peak_intensity,CO2,8,-0.05550181891959478,0.3609601067367353,273
mhw_peak_intensity,CO2,9,-0.05683599014399969,0.35040637134718644,272
mhw_peak_intensity,CO2,10,-0.046622289752309296,0.44464806656227407,271
mhw_peak_intensity,CO2,11,-0.014556212476622903,0.8118144718924084,270
mhw_peak_intensity,CO2,12,0.012034005930693497,0.8442498548515918,269
mhw_peak_intensity,Temperature,0,0.11025376153338597,0.06495294704143371,281
