Datetime,EC50,period
2003-02-01,28.97,2003–2015
2003-03-01,39.77,2003–2015
2003-04-01,55.44,2003–2015
2003-05-01,24.15,2003–2015
2004-01-01,66.94,2003–2015
2004-02-01,44.4,2003–2015
2004-03-01,35.629999999999995,2003–2015
2004-05-01,42.45,2003–2015
2004-06-01,47.905,2003–2015
2004-11-01,41.52,2003–2015
2004-12-01,43.99,2003–2015
2005-01-01,43.59,2003–2015
2005-02-01,50.07,2003–2015
2005-04-01,61.43,2003–2015
2005-05-01,55.49,2003–2015
2005-10-01,57.53,2003–2015
2006-03-01,57.65,2003–2015
2006-04-01,53.65,2003–2015
2006-05-01,63.28,2003–2015
2006-06-01,15.89,2003–2015
2006-10-01,52.15,2003–2015
2007-02-01,37.2,2003–2015
2007-05-01,43.0,2003–2015
2008-01-01,39.88,2003–2015
2008-03-01,36.14,2003–2015
2008-06-01,47.18,2003–2015
2008-07-01,52.76,2003–2015
2008-09-01,35.38,2003–2015
2008-12-01,52.76,2003–2015
2009-01-01,41.005,2003–2015
2009-02-01,43.07,2003–2015
2009-12-01,52.28,2003–2015
2010-02-01,54.04,2003–2015
2010-03-01,44.48,2003–2015
2010-04-01,39.005,2003–2015
2010-05-01,42.742,2003–2015
2010-06-01,56.24,2003–2015
2010-07-01,42.08,2003–2015
2010-09-01,39.84,2003–2015
2010-10-01,43.505,2003–2015
2010-11-01,44.04,2003–2015
2010-12-01,49.97,2003–2015
2011-01-01,51.13,2003–2015
2011-02-01,53.67,2003–2015
2011-03-01,43.12,2003–2015
2011-04-01,44.06,2003–2015
2011-05-01,37.89,2003–2015
2011-09-01,38.17,2003–2015
2011-10-01,42.13,2003–2015
2011-11-01,46.38,2003–2015
2011-12-01,53.973333333333336,2003–2015
2012-01-01,54.27,2003–2015
2012-02-01,51.805,2003–2015
2012-03-01,43.625,2003–2015
2012-04-01,40.975,2003–2015
2012-05-01,44.395,2003–2015
2012-09-01,42.12,2003–2015
2012-10-01,43.41,2003–2015
2013-01-01,51.85,2003–2015
2013-02-01,54.53,2003–2015
2013-03-01,59.405,2003–2015
2013-04-01,51.43,2003–2015
2013-05-01,60.25,2003–2015
2013-09-01,55.56999999999999,2003–2015
2013-10-01,51.535,2003–2015
2013-11-01,49.05500000000001,2003–2015
2013-12-01,48.125,2003–2015
2014-01-01,47.694,2003–2015
2014-02-01,46.75,2003–2015
2014-03-01,45.99,2003–2015
2014-04-01,49.75,2003–2015
2014-05-01,44.6625,2003–2015
2014-07-01,49.49,2003–2015
2014-08-01,46.81,2003–2015
2014-09-01,53.01666666666667,2003–2015
2014-11-01,52.15,2003–2015
2014-12-01,48.185,2003–2015
2015-01-01,47.79,2003–2015
2015-02-01,46.98,2003–2015
2015-03-01,46.195,2003–2015
2015-04-01,46.67,2003–2015
2015-05-01,45.96666666666667,2003–2015
2015-06-01,46.75,2003–2015
2015-07-01,48.27,2003–2015
2015-09-01,48.45,2003–2015
2015-11-01,46.4,2003–2015
2015-12-01,48.16,2003–2015
2016-01-01,44.605,2016–2025
2016-02-01,44.095,2016–2025
2016-03-01,42.945,2016–2025
2016-04-01,44.84,2016–2025
2016-05-01,41.4,2016–2025
2016-06-01,38.18,2016–2025
2016-09-01,29.67,2016–2025
2016-10-01,33.69,2016–2025
2016-11-01,32.89,2016–2025
2016-12-01,33.685,2016–2025
2017-01-01,32.36,2016–2025
2017-02-01,31.01,2016–2025
2017-03-01,32.185,2016–2025
2017-04-01,31.66,2016–2025
2017-05-01,29.89,2016–2025
2017-06-01,28.45,2016–2025
2017-09-01,29.685,2016–2025
2017-10-01,29.025,2016–2025
2017-11-01,30.855,2016–2025
2017-12-01,31.31,2016–2025
2018-02-01,26.775,2016–2025
2018-03-01,27.4,2016–2025
2018-04-01,28.31,2016–2025
2018-05-01,27.663333333333338,2016–2025
2018-06-01,25.42,2016–2025
2018-09-01,27.22,2016–2025
2018-10-01,27.73,2016–2025
2018-11-01,27.265,2016–2025
2018-12-01,27.905,2016–2025
2019-02-01,18.65,2016–2025
2019-03-01,27.886666666666667,2016–2025
2019-04-01,25.55,2016–2025
2019-06-01,24.18,2016–2025
2019-09-01,25.365,2016–2025
2019-10-01,25.825,2016–2025
2019-11-01,25.885,2016–2025
2019-12-01,25.130000000000003,2016–2025
2020-01-01,26.0,2016–2025
2020-02-01,26.4,2016–2025
2020-03-01,26.79,2016–2025
2020-04-01,24.35,2016–2025
2020-05-01,22.615,2016–2025
2020-06-01,22.06,2016–2025
2020-09-01,22.67,2016–2025
2020-10-01,21.83,2016–2025
2020-11-01,20.61,2016–2025
2020-12-01,23.65,2016–2025
2021-01-01,28.62,2016–2025
2021-02-01,21.635,2016–2025
2021-03-01,29.31,2016–2025
2021-05-01,25.595,2016–2025
2021-10-01,35.28,2016–2025
2021-11-01,27.52,2016–2025
2022-03-01,20.18,2016–2025
2022-04-01,28.1,2016–2025
2022-10-01,19.433333333333334,2016–2025
2023-03-01,17.3,2016–2025
2023-05-01,30.82,2016–2025
2023-12-01,11.71,2016–2025
2024-02-01,19.715,2016–2025
2024-04-01,21.02,2016–2025
2024-10-01,24.54,2016–2025
2024-11-01,28.05,2016–2025
2025-01-01,25.53,2016–2025
2025-02-01,48.75,2016–2025
2025-03-01,29.57,2016–2025
2025-04-01,31.88,2016–2025
2025-05-01,24.48,2016–2025
2025-10-01,14.37,2016–2025
2025-11-01,20.75,2016–2025
2025-12-01,17.895,2016–2025
