Datetime,Temperature,period
2003-01-01,13.662062,2003–2015
2003-02-01,13.357307,2003–2015
2003-03-01,13.190044,2003–2015
2003-04-01,14.058393,2003–2015
2003-05-01,18.272099,2003–2015
2003-06-01,23.203522,2003–2015
2003-07-01,26.29609,2003–2015
2003-08-01,27.06503,2003–2015
2003-09-01,24.080177,2003–2015
2003-10-01,20.782654,2003–2015
2003-11-01,16.587507,2003–2015
2003-12-01,15.405218,2003–2015
2004-01-01,13.858318,2003–2015
2004-02-01,12.325811,2003–2015
2004-03-01,12.653414,2003–2015
2004-04-01,14.048079,2003–2015
2004-05-01,16.569729,2003–2015
2004-06-01,20.932064,2003–2015
2004-07-01,23.949574,2003–2015
2004-08-01,25.064693,2003–2015
2004-09-01,23.565306,2003–2015
2004-10-01,20.985027,2003–2015
2004-11-01,18.251688,2003–2015
2004-12-01,15.77503,2003–2015
2005-01-01,14.401662,2003–2015
2005-02-01,12.729106,2003–2015
2005-03-01,12.319208,2003–2015
2005-04-01,14.140969,2003–2015
2005-05-01,18.09838,2003–2015
2005-06-01,22.50693,2003–2015
2005-07-01,24.76137,2003–2015
2005-08-01,24.78045,2003–2015
2005-09-01,23.836815,2003–2015
2005-10-01,20.69727,2003–2015
2005-11-01,18.527737,2003–2015
2005-12-01,15.111452,2003–2015
2006-01-01,13.146598,2003–2015
2006-02-01,12.403345,2003–2015
2006-03-01,12.345739,2003–2015
2006-04-01,14.229256,2003–2015
2006-05-01,17.980637,2003–2015
2006-06-01,20.61057,2003–2015
2006-07-01,25.534647,2003–2015
2006-08-01,24.9276,2003–2015
2006-09-01,23.122927,2003–2015
2006-10-01,21.466074,2003–2015
2006-11-01,18.918682,2003–2015
2006-12-01,17.004667,2003–2015
2007-01-01,14.773832,2003–2015
2007-02-01,14.282949,2003–2015
2007-03-01,13.835905,2003–2015
2007-04-01,15.676431,2003–2015
2007-05-01,19.554234,2003–2015
2007-06-01,21.56045,2003–2015
2007-07-01,23.95179,2003–2015
2007-08-01,24.083733,2003–2015
2007-09-01,22.914526,2003–2015
2007-10-01,20.513237,2003–2015
2007-11-01,17.335796,2003–2015
2007-12-01,14.884856,2003–2015
2008-01-01,13.254873,2003–2015
2008-02-01,13.016025,2003–2015
2008-03-01,12.780695,2003–2015
2008-04-01,14.183779,2003–2015
2008-05-01,17.72287,2003–2015
2008-06-01,21.219088,2003–2015
2008-07-01,24.837538,2003–2015
2008-08-01,25.756447,2003–2015
2008-09-01,23.980652,2003–2015
2008-10-01,20.319576,2003–2015
2008-11-01,18.173248,2003–2015
2008-12-01,15.2007475,2003–2015
2009-01-01,13.695503,2003–2015
2009-02-01,13.05318,2003–2015
2009-03-01,13.185123,2003–2015
2009-04-01,14.7608385,2003–2015
2009-05-01,18.42303,2003–2015
2009-06-01,22.162968,2003–2015
2009-07-01,24.417871,2003–2015
2009-08-01,25.963715,2003–2015
2009-09-01,24.504545,2003–2015
2009-10-01,21.793755,2003–2015
2009-11-01,17.69935,2003–2015
2009-12-01,15.167687,2003–2015
2010-01-01,12.960951,2003–2015
2010-02-01,12.178112,2003–2015
2010-03-01,12.396542,2003–2015
2010-04-01,14.356559,2003–2015
2010-05-01,17.571636,2003–2015
2010-06-01,21.65586,2003–2015
2010-07-01,24.957567,2003–2015
2010-08-01,24.547956,2003–2015
2010-09-01,23.721054,2003–2015
2010-10-01,20.532463,2003–2015
2010-11-01,17.295355,2003–2015
2010-12-01,14.844246,2003–2015
2011-01-01,13.341368,2003–2015
2011-02-01,12.549627,2003–2015
2011-03-01,12.6964,2003–2015
2011-04-01,15.143055,2003–2015
2011-05-01,18.685143,2003–2015
2011-06-01,22.052109,2003–2015
2011-07-01,24.473907,2003–2015
2011-08-01,24.767307,2003–2015
2011-09-01,23.98062,2003–2015
2011-10-01,21.117914,2003–2015
2011-11-01,17.799839,2003–2015
2011-12-01,16.264732,2003–2015
2012-01-01,14.115408,2003–2015
2012-02-01,13.424329,2003–2015
2012-03-01,13.24498,2003–2015
2012-04-01,14.568935,2003–2015
2012-05-01,17.108355,2003–2015
2012-06-01,21.69104,2003–2015
2012-07-01,24.748112,2003–2015
2012-08-01,25.863522,2003–2015
2012-09-01,23.913395,2003–2015
2012-10-01,21.284622,2003–2015
2012-11-01,17.987015,2003–2015
2012-12-01,15.162988,2003–2015
2013-01-01,13.319181,2003–2015
2013-02-01,12.2100115,2003–2015
2013-03-01,12.453591,2003–2015
2013-04-01,14.570761,2003–2015
2013-05-01,17.510645,2003–2015
2013-06-01,19.836514,2003–2015
2013-07-01,23.501999,2003–2015
2013-08-01,25.079535,2003–2015
2013-09-01,23.25656,2003–2015
2013-10-01,20.346571,2003–2015
2013-11-01,18.410948,2003–2015
2013-12-01,15.614509,2003–2015
2014-01-01,14.111138,2003–2015
2014-02-01,13.3354435,2003–2015
2014-03-01,13.962333,2003–2015
2014-04-01,15.355123,2003–2015
2014-05-01,17.759398,2003–2015
2014-06-01,21.471733,2003–2015
2014-07-01,24.16529,2003–2015
2014-08-01,24.630268,2003–2015
2014-09-01,23.81808,2003–2015
2014-10-01,22.208694,2003–2015
2014-11-01,18.895737,2003–2015
2014-12-01,16.900635,2003–2015
2015-01-01,15.213457,2003–2015
2015-02-01,13.428745,2003–2015
2015-03-01,13.456695,2003–2015
2015-04-01,15.0228,2003–2015
2015-05-01,18.215057,2003–2015
2015-06-01,22.445435,2003–2015
2015-07-01,26.544462,2003–2015
2015-08-01,25.808083,2003–2015
2015-09-01,23.866323,2003–2015
2015-10-01,20.462742,2003–2015
2015-11-01,18.117683,2003–2015
2015-12-01,15.600851,2003–2015
2016-01-01,13.971552,2016–2025
