Datetime,EC50_forecast,CI_lower,CI_upper,scenario,pH_proj,Temp_proj,mhw_proj
2026-06-01,23.63187677520891,11.136352606240475,36.12740094417734,mean,8.016125512798924,23.237368173579277,2.6770541205537763
2026-07-01,23.423240281210916,10.896555204090442,35.94992535833139,mean,7.972182512798925,26.29637917357928,2.1463308288873573
2026-08-01,23.318730064083567,10.760884078811051,35.87657604935608,mean,7.973740512798925,26.49035617357928,1.6132637709987705
2026-09-01,23.273137584253156,10.6841306908286,35.86214447767772,mean,7.998428512798925,24.805454173579278,1.2222578602270817
2026-10-01,22.94447401770156,10.324306216124961,35.56464181927816,mean,8.052557512798925,21.06828117357928,1.0801967131101833
2026-11-01,23.708905950921178,11.05757724119254,36.360234660649816,mean,8.082382512798924,18.688696173579277,1.2275734029378955
2026-12-01,23.014481061084318,10.331991443203638,35.696970678965,mean,8.115713512798923,16.354029173579278,1.6273263683317687
2027-01-01,22.939006903464218,10.225356377431497,35.65265742949694,mean,8.129220012798923,14.900022673579278,2.174456023553361
2027-02-01,23.394045572886256,10.649234138701495,36.13885700707102,mean,8.129220012798923,14.379319959293559,2.723929444997122
2027-03-01,22.92229299266362,10.14632065032682,35.69826533500042,mean,8.129220012798925,14.755478431643791,3.129457688524545
2027-04-01,23.69368636192496,10.886553111436116,36.50081961241381,mean,8.129220012798925,16.431039423579275,3.282777931329555
2027-05-01,22.477323717767874,9.639029559126989,35.31561787640876,mean,8.129220012798925,18.962495044547016,3.142892275591077
2027-06-01,22.99124277790498,10.121787711112054,35.8606978446979,mean,8.014797025597849,23.286919347158552,2.747367107218785
2027-07-01,23.142070695001486,10.24145472005652,36.04268666994645,mean,7.970854025597848,26.345930347158554,2.2025812182193785
2027-08-01,23.327276087589446,10.395499204492438,36.259052970686454,mean,7.972412025597849,26.539907347158554,1.6554515629977757
2027-09-01,23.50715534913784,10.544217557888791,36.470093140386886,mean,7.997100025597848,24.855005347158553,1.254151116491955
2027-10-01,23.5190429231763,10.524944223775211,36.51314162257739,mean,8.051229025597848,21.117832347158554,1.1083219077761868
2027-11-01,23.751126778896413,10.725867171343284,36.776386386449545,mean,8.08105402559785,18.738247347158556,1.2594666592027688
2027-12-01,23.413850738388184,10.357430222683012,36.470271254093355,mean,8.114385025597848,16.403580347158556,1.6695141603307846
2028-01-01,23.229208735071488,10.141627311214275,36.3167901589287,mean,8.127891525597848,14.949573847158556,2.2307064128853824
2028-02-01,23.19323811375193,10.074495781742678,36.311980445761186,mean,8.127891525597848,14.428871132872837,2.7942424316621484
2028-03-01,22.857679911485917,9.707776671324623,36.00758315164721,mean,8.127891525597848,14.80502960522307,3.2100652109236933
