variable,lag,spearman_r,p_value,n
O2,0,-0.10538965957552465,0.07725234427076726,282
O2,1,-0.05327825270537566,0.37359620276198946,281
O2,2,0.007291734203370954,0.9033189039960863,280
O2,3,-0.040928432421437115,0.49596278752716505,279
O2,4,-0.09527895634270366,0.11295093464752108,278
O2,5,-0.0034547600644823004,0.9543549497448263,277
O2,6,0.04995776076055185,0.4084012991286212,276
O2,7,0.06463249164453583,0.2855008261696772,275
O2,8,-0.00939964365694036,0.8769128477295067,274
O2,9,0.08833689559376669,0.145471370202187,273
O2,10,0.06427820270364946,0.29082483413373794,272
O2,11,-0.024283501056096068,0.6906539562250675,271
O2,12,0.005421564236867795,0.9293420065428428,270
CO2,0,0.20550460015097521,0.0005394280074230824,280
CO2,1,0.007581475530904872,0.8996773990721196,279
CO2,2,-0.03457553627954863,0.5659247871170794,278
CO2,3,0.007880813672607156,0.8961140643032511,277
CO2,4,0.05432166482402208,0.36863801359435355,276
CO2,5,0.023357243135208133,0.6997748862250306,275
CO2,6,-0.010613000942985139,0.8611753252634684,274
CO2,7,-0.07710018629688922,0.20410241644246127,273
CO2,8,-0.10345147149687975,0.08859057173760926,272
CO2,9,-0.041949360951797125,0.491651585656361,271
CO2,10,0.0014493596832939014,0.9810879735461755,270
CO2,11,0.0603145740086603,0.3243670306480778,269
CO2,12,0.02754982305387503,0.6534409200764533,268
Temperature,0,0.19897678524833803,0.0007788364725249213,282
Temperature,1,0.019693660387768624,0.7423928562418372,281
Temperature,2,-0.000464734502934384,0.9938230724186778,280
Temperature,3,0.024850485346812647,0.6793976498605092,279
Temperature,4,0.0460479714645285,0.444438600050156,278
Temperature,5,0.0052239223175165606,0.9310285556348574,277
Temperature,6,-0.01455579882090793,0.8097610049048416,276
Temperature,7,-0.04956400088923096,0.4129659227838308,275
Temperature,8,-0.11240613047034363,0.06316347542822057,274
Temperature,9,-0.06146975320146244,0.31156480951951104,273
Temperature,10,-0.0027278413537139682,0.9642813857656576,272
Temperature,11,0.0496896521282643,0.41523417639074434,271
Temperature,12,0.03053740527163806,0.6173783930635957,270
Salinity,0,0.10729853668188864,0.07201192660243215,282
Salinity,1,0.03738541190962844,0.5325498146913501,281
Salinity,2,-0.039117744278601506,0.5144744357881055,280
Salinity,3,-0.027225054953622558,0.6506996756896268,279
Salinity,4,0.03415689482058935,0.5706403289869704,278
Salinity,5,0.004772331591062694,0.9369779762251413,277
Salinity,6,0.004296197903472564,0.943357801691616,276
Salinity,7,-0.05464837371709469,0.36663860207866106,275
Salinity,8,0.015452099387131966,0.7990138032784826,274
Salinity,9,0.06735512048403015,0.2674117525216486,273
Salinity,10,-0.039959040184982406,0.5116642340797501,272
Salinity,11,-0.020559181554119232,0.7361786903609289,271
Salinity,12,-0.10268923740469624,0.09218507645346995,270
pH,0,-0.1994640967957942,0.0007554901150728537,282
pH,1,-0.009757241326757628,0.8706475889683111,281
pH,2,0.005863741892804993,0.9221855444350655,280
pH,3,-0.019014445906448473,0.7518457321330047,279
pH,4,-0.048012410156454494,0.4252304480949338,278
pH,5,-0.006137407583075498,0.9190060213569402,277
pH,6,0.015484596861203606,0.7978757181524495,276
pH,7,0.06503797698967723,0.28248290227783684,275
pH,8,0.0830780589853277,0.1702903930831742,274
pH,9,0.06177965054407113,0.3091270452639983,273
pH,10,0.01632288480030086,0.7887131787386659,272
pH,11,-0.06003638622734464,0.3247991075814918,271
pH,12,-0.03687313340693349,0.5463213833614955,270
EC50,0,0.029460031124518567,0.7080560911515874,164
EC50,1,-0.0024654070620229603,0.9750829100275096,163
EC50,2,-0.06473111692144728,0.4131451059235359,162
EC50,3,-0.012168664008351907,0.8782361249000694,161
EC50,4,-0.004731108964070431,0.952653083899943,160
EC50,5,0.03762799219232553,0.636644077633151,160
EC50,6,-0.12012297859313192,0.13027475582638948,160
EC50,7,0.0485861786716862,0.5417864659181081,160
EC50,8,0.023670669292626723,0.7663848687657038,160
EC50,9,0.027717744245880103,0.7278982510391145,160
EC50,10,0.009370846554769725,0.9063797947948473,160
EC50,11,-0.008827939043188016,0.9117811350425535,160
EC50,12,-0.0017747987807428933,0.9822861842221916,159
