driver,variable,lag,spearman_r,p_value,n
mhw_peak_intensity,O2,0,-0.09571451528456718,0.10686413380292953,285
mhw_peak_intensity,O2,1,-0.05628249691565798,0.3446304623504337,284
mhw_peak_intensity,O2,2,-0.05275045506479974,0.37664865407922243,283
mhw_peak_intensity,O2,3,-0.131287321933625,0.02749294516855344,282
mhw_peak_intensity,O2,4,-0.14826823437787318,0.012842153957219948,281
mhw_peak_intensity,O2,5,-0.13340111845449923,0.02559989991458095,280
mhw_peak_intensity,O2,6,-0.08069986407187615,0.17891768597433755,279
mhw_peak_intensity,O2,7,-0.022470250188576284,0.70913880199199,278
mhw_peak_intensity,O2,8,-0.03574312108937869,0.5535939221603051,277
mhw_peak_intensity,O2,9,0.005228806666571539,0.9310897766274651,276
mhw_peak_intensity,O2,10,0.0029433657424771356,0.9612476539869197,275
mhw_peak_intensity,O2,11,-0.06406411107141034,0.2906541988504502,274
mhw_peak_intensity,O2,12,-0.033024832616932225,0.5869203097056797,273
mhw_peak_intensity,CO2,0,0.08028220852535159,0.1765206728523391,285
mhw_peak_intensity,CO2,1,-0.018842382919424677,0.7518771942231145,284
mhw_peak_intensity,CO2,2,0.017032500998018785,0.7754269238233928,283
mhw_peak_intensity,CO2,3,0.05198308745683371,0.38448882215207525,282
mhw_peak_intensity,CO2,4,0.03558827028956505,0.552447149733632,281
mhw_peak_intensity,CO2,5,-0.007473309608540925,0.9009235911042128,280
mhw_peak_intensity,CO2,6,-0.04960381924874847,0.4091811232438105,279
mhw_peak_intensity,CO2,7,-0.09400161249828598,0.11788274329058293,278
mhw_peak_intensity,CO2,8,-0.10162279844935854,0.09139876916948209,277
mhw_peak_intensity,CO2,9,-0.07659765128922247,0.20457484718472269,276
mhw_peak_intensity,CO2,10,-0.06511756729465394,0.2818930664743202,275
mhw_peak_intensity,CO2,11,-0.0168179265989485,0.7816778770932524,274
mhw_peak_intensity,CO2,12,-0.001427297477104261,0.9812716765585916,273
mhw_peak_intensity,Temperature,0,0.07983639784974106,0.17894307014090566,285
mhw_peak_intensity,Temperature,1,0.01753792234530486,0.7685489519514525,284
mhw_peak_intensity,Temperature,2,0.03398770186716873,0.5690877119115239,283
mhw_peak_intensity,Temperature,3,0.0729399576892113,0.2220645266177207,282
mhw_peak_intensity,Temperature,4,0.04967820095403952,0.4067883410064731,281
mhw_peak_intensity,Temperature,5,0.0026807922112709165,0.964380197440837,280
mhw_peak_intensity,Temperature,6,-0.045956414591828844,0.4445209419977513,279
mhw_peak_intensity,Temperature,7,-0.0841071174736,0.16196104509390788,278
mhw_peak_intensity,Temperature,8,-0.11682150120431045,0.05211773751218168,277
mhw_peak_intensity,Temperature,9,-0.08462265093249241,0.16091746076104205,276
mhw_peak_intensity,Temperature,10,-0.05240818210669051,0.38663945754145246,275
mhw_peak_intensity,Temperature,11,-0.01806281309930945,0.7659701904941675,274
mhw_peak_intensity,Temperature,12,0.004300175994036019,0.9436167157820223,273
mhw_peak_intensity,Salinity,0,-0.012539202828305866,0.8330713788224826,285
mhw_peak_intensity,Salinity,1,-0.035391220299292495,0.5525260739144392,284
mhw_peak_intensity,Salinity,2,-0.07839927316700745,0.18848719217570187,283
mhw_peak_intensity,Salinity,3,-0.07551488516235502,0.20612813101158345,282
mhw_peak_intensity,Salinity,4,-0.06191143224913194,0.30104687728359925,281
mhw_peak_intensity,Salinity,5,-0.07624896819019193,0.20336097778544637,280
mhw_peak_intensity,Salinity,6,-0.061355523875830216,0.30715938410998217,279
mhw_peak_intensity,Salinity,7,-0.10562813287276315,0.07872043102294893,278
mhw_peak_intensity,Salinity,8,-0.09604785172019345,0.11070871091524584,277
mhw_peak_intensity,Salinity,9,-0.0652696165865213,0.2798876747634896,276
mhw_peak_intensity,Salinity,10,-0.09299847090389776,0.12392239394898331,275
mhw_peak_intensity,Salinity,11,-0.0881702239366473,0.14549188174065122,274
mhw_peak_intensity,Salinity,12,-0.07449549162730786,0.2198506725510713,273
mhw_peak_intensity,pH,0,-0.12161767069105837,0.040194807631335046,285
mhw_peak_intensity,pH,1,-0.060015140124735765,0.3135306756901105,284
mhw_peak_intensity,pH,2,-0.07795188543485557,0.19102933982342815,283
mhw_peak_intensity,pH,3,-0.11833723469805739,0.04710278714895667,282
mhw_peak_intensity,pH,4,-0.11454369436121536,0.055128750286545895,281
mhw_peak_intensity,pH,5,-0.08603079849779426,0.15106098355231876,280
mhw_peak_intensity,pH,6,-0.04713887875874415,0.43287838966104664,279
mhw_peak_intensity,pH,7,-0.025441112115548038,0.6727730686891702,278
