lag,cumulative_rr,ci_lower,ci_upper,intensity_ref
0,-1.0940758556314758,-2.8705989199133386,0.6824472086503872,0.7828883003067486
1,-1.8312991805971786,-4.478829863763334,0.8162315025689768,0.7828883003067486
2,-2.3366250433359466,-5.448187579099276,0.7749374924273833,0.7828883003067486
3,-2.7171621021433134,-6.215072747008849,0.7807485427222218,0.7828883003067486
4,-3.062172605171504,-6.982900597560574,0.858555387217566,0.7828883003067486
5,-3.4430723904294376,-7.796913704599621,0.9107689237407466,0.7828883003067486
6,-3.9134308857827285,-8.672287441751847,0.84542567018639,0.7828883003067486
7,-4.508971108953685,-9.657297669355527,0.6393554514481572,0.7828883003067486
8,-5.247569667521304,-10.81515465879746,0.320015323754852,0.7828883003067486
9,-6.129256758921285,-12.162453634298615,-0.0960598835439539,0.7828883003067486
10,-7.136216170446014,-13.629334280103954,-0.6430980607880743,0.7828883003067486
11,-8.23278527924457,-15.116112104182863,-1.3494584543062782,0.7828883003067486
12,-9.365455052322734,-16.719833517803032,-2.011076586842436,0.7828883003067486
