predictor,lag_years,n,rho_raw,p_raw,rho_detrended,p_detrended,p_detrended_fdr
event_count,0,22,-0.5283045045873884,0.011488364852611382,0.1259175607001694,0.5765977724368205,0.9225564358989129
event_count,1,22,-0.5429412111272067,0.009025717059615234,-0.19480519480519481,0.3849848159236804,0.7699696318473608
event_count,2,21,-0.5060725917194748,0.01924551632995288,0.10259740259740259,0.6580970577075415,0.9306775109774502
event_count,3,20,-0.45391037308798887,0.044397579678377264,-0.05714285714285714,0.8108800461568323,0.9306775109774502
total_mhw_days,0,22,-0.5687659080235761,0.00574137658310867,-0.1643139469226426,0.4649608938522396,0.8265971446262037
total_mhw_days,1,22,-0.7303022036489413,0.00011390819630648934,-0.4884246188594016,0.021089248085960254,0.33742796937536407
total_mhw_days,2,21,-0.6768431665842242,0.000752568059055202,-0.06883116883116883,0.7668778725128099,0.9306775109774502
total_mhw_days,3,20,-0.5874389283423777,0.0064599385824895585,-0.25864661654135335,0.2708557980141591,0.7451731454091866
cum_intensity_sum,0,22,-0.5584415584415585,0.006908962488655956,-0.21964991530208924,0.32601325111651913,0.7451731454091866
cum_intensity_sum,1,22,-0.6600790513833994,0.0008292123968462251,-0.3596837944664032,0.10014490036970836,0.46846952093171085
cum_intensity_sum,2,21,-0.5584415584415584,0.008510101872800194,0.012987012987012986,0.9554439323134465,0.9698849998123449
cum_intensity_sum,3,20,-0.437593984962406,0.05366144000429185,-0.23458646616541348,0.3194764651496698,0.7451731454091866
max_intensity,0,22,-0.639751552795031,0.0013448122724821902,-0.34500282326369286,0.11584026217226423,0.46846952093171085
max_intensity,1,22,-0.6352343308865049,0.0014905173319026863,-0.34387351778656133,0.11711738023292771,0.46846952093171085
max_intensity,2,21,-0.39350649350649347,0.07758803344921017,0.05454545454545454,0.814342822105269,0.9306775109774502
max_intensity,3,20,-0.23909774436090225,0.3099862644060448,-0.009022556390977442,0.9698849998123449,0.9698849998123449
