lag,r_raw,p_raw,r_diff,p_diff,r_arima,p_arima,n
0,-0.14328660370353427,0.06719236073696375,0.07838502269695682,0.31843646549892574,,,164
1,-0.1746446418330656,0.025308979916838795,-0.03298047252105277,0.675991183782823,,,164
2,-0.22525785341900365,0.0038399653728055103,-0.026201870980655337,0.740667327719526,,,163
3,-0.17834748044557322,0.023168117179738438,-0.08051171588935231,0.3099779080408788,,,162
4,-0.18062452894239625,0.02185358779065731,0.19284927599664087,0.014556647364288843,,,161
5,-0.24532398404909925,0.001767665797755628,-0.21478867044940966,0.006381784892949459,,,160
6,-0.17573408450100247,0.026230748084768583,0.10401015182732296,0.19057726157193533,,,160
7,-0.17300079487680906,0.02869357452112474,-0.05536231799161806,0.4868504737008358,,,160
8,-0.18004468168153115,0.022714748247194674,0.09040719270484239,0.255565840573053,,,160
9,-0.1601142957662571,0.04312563685969787,-0.013079296613782949,0.8696120319013311,,,160
10,-0.12037712258948416,0.12945770157226702,-0.04664693444861786,0.5580537056419957,,,160
11,-0.06281532805752661,0.4300489945209487,0.13704530199603598,0.08397525441721868,,,160
12,-0.18564310421486752,0.018759488085210257,-0.12892022273215342,0.10532649472169005,,,160
