lag,n,mean_ec50,sd_EC50,se_EC50,ci_lower,ci_upper,boot_p,boot_p025,boot_p975,significant
-6,73,35.38315068493151,12.427959966632725,1.4545826918022788,32.532168608999044,38.23413276086397,0.0,36.844644406392696,39.839090818250384,True
-5,69,34.62444444444444,11.251477360028082,1.354518700462199,31.969587791538533,37.279301097350356,0.0,37.23762323263251,40.36035199004976,True
-4,74,35.723567567567564,11.41655343792529,1.327147379751447,33.122358703254726,38.3247764318804,0.004004004004004004,36.822440692204296,40.34737277777778,True
-3,66,35.30046464646465,11.167349462152696,1.3746056955836248,32.60623748312074,37.99469180980855,0.0,37.602111960359494,40.64044734392554,True
-2,73,35.940721461187216,12.697047775122606,1.486077037604427,33.02801046748254,38.853432454891895,0.0,37.67632171717172,40.865485912320764,True
-1,67,36.31346268656716,12.357933504359284,1.5097618696197415,33.35432942211247,39.272595951021856,0.0,37.82735574703075,40.87533755555556,True
0,64,35.73031770833333,11.264789017552937,1.4080986271941172,32.970444399032864,38.4901910176338,0.002002002002002002,36.61487584097859,39.33199724770641,True
1,65,34.72372307692308,11.28601025969043,1.3998572871317863,31.980002794144777,37.46744335970138,0.0,37.27475466318236,40.10632286324786,True
2,69,34.39744927536232,11.312635124217515,1.361881230076962,31.728162064411475,37.06673648631317,0.0,36.75424204335466,39.92714508202232,True
3,68,34.62526960784314,12.486382431927305,1.5141962837850882,31.657444891624365,37.59309432406191,0.0,37.30014650273224,40.36939266198283,True
4,66,34.239873737373735,13.00997692210586,1.6014174569487205,31.101095521754242,37.37865195299322,0.0,36.92342289346917,40.087929454685096,True
5,72,34.17762037037037,13.504074222434687,1.591470409388337,31.05833836796923,37.29690237277151,0.0,36.34897698294244,39.5235882172471,True
6,74,34.95587837837838,12.079048039437506,1.4041608128577698,32.203723185177154,37.708033571579605,0.002002002002002002,35.95962026700614,39.02568353303903,True
7,66,32.91404545454545,12.234906551518808,1.5060128894192562,29.96226019128371,35.86583071780719,0.0,35.765024908088236,39.02748149305555,True
8,70,35.8962,12.158488181959692,1.4532172921332343,33.04789410741886,38.74450589258114,0.024024024024024024,36.26158968926554,39.657733040935675,True
9,67,34.51871641791045,12.033427056946865,1.4701170972493276,31.637286907301764,37.40014592851913,0.0,35.910213469945354,39.25909796777296,True
10,67,35.130199004975125,11.733607436688658,1.4334883008352641,32.320561935338006,37.939836074612245,0.0,37.1449206302152,40.24155893772893,True
11,64,34.32745833333333,12.365154071916056,1.545644258989507,31.2979955857139,37.356921080952766,0.0,36.34090227272727,39.471873573059355,True
12,65,34.718620512820515,11.96839386674639,1.484496556720999,31.809007261647356,37.62823376399367,0.0,36.41742294372295,39.45279983766233,True
