Datetime,variable,trend
2016-06-01,O2,237.98059850912975
2016-07-01,O2,237.93662868104119
2016-08-01,O2,237.8926588529526
2016-09-01,O2,237.84868902486403
2016-10-01,O2,237.80471919677547
2016-11-01,O2,237.76074936868687
2016-12-01,O2,239.18772541666667
2017-01-01,O2,238.52624874999998
2017-02-01,O2,237.2978883333333
2017-03-01,O2,236.43611916666663
2017-04-01,O2,236.29822541666664
2017-05-01,O2,236.65719374999998
2017-06-01,O2,237.2140683333333
2017-07-01,O2,237.57103541666663
2017-08-01,O2,237.6313908333333
2017-09-01,O2,237.58993541666663
2017-10-01,O2,237.677405
2017-11-01,O2,237.61210999999994
2017-12-01,O2,238.18918749999997
2018-01-01,O2,239.64742916666663
2018-02-01,O2,240.8524945833333
2018-03-01,O2,241.62140291666668
2018-04-01,O2,241.7926341666667
2018-05-01,O2,241.35451041666667
2018-06-01,O2,240.6676404166667
2018-07-01,O2,239.98426208333333
2018-08-01,O2,239.57898166666664
2018-09-01,O2,239.4923970833333
2018-10-01,O2,239.43264249999996
2018-11-01,O2,239.3805183333333
2018-12-01,O2,238.75447041666663
2019-01-01,O2,237.73298083333327
2019-02-01,O2,236.9920020833333
2019-03-01,O2,236.52407874999994
2019-04-01,O2,236.39279999999994
2019-05-01,O2,236.3662966666666
2019-06-01,O2,236.47243958333328
2019-07-01,O2,236.65014250000002
2019-08-01,O2,236.73740041666667
2019-09-01,O2,236.720265
2019-10-01,O2,236.8951970833333
2019-11-01,O2,236.8992595833333
2019-12-01,O2,236.39281749999998
2020-01-01,O2,236.3287845833333
2020-02-01,O2,236.76691958333328
2020-03-01,O2,236.7621016666666
2020-04-01,O2,236.51222916666666
2020-05-01,O2,236.67383166666667
2020-06-01,O2,236.96321124999997
2020-07-01,O2,237.14799166666663
2020-08-01,O2,237.29424791666665
2020-09-01,O2,237.39573583333328
2020-10-01,O2,237.12851999999998
2020-11-01,O2,236.9980858333333
2020-12-01,O2,237.173575
2021-01-01,O2,236.3194133333333
2021-02-01,O2,235.01514874999998
2021-03-01,O2,234.62928333333332
2021-04-01,O2,234.98599833333333
2021-05-01,O2,235.49473583333332
2021-06-01,O2,235.86813874999999
2021-08-01,O2,236.1980975
2021-09-01,O2,236.5550525
2021-10-01,O2,236.77491375000002
2021-11-01,O2,236.6063054166667
2021-12-01,O2,235.56113541666667
2022-01-01,O2,234.38259
2022-02-01,O2,234.50997333333328
2022-03-01,O2,235.0144925
2022-04-01,O2,234.96105374999996
2022-05-01,O2,234.60607083333332
2022-06-01,O2,234.25301166666668
2022-07-01,O2,234.10483333333335
2022-08-01,O2,234.15429083333333
2022-09-01,O2,234.17731
2022-10-01,O2,233.97078249999998
2022-11-01,O2,233.89289
2022-12-01,O2,234.16798375000002
2023-01-01,O2,234.12016500000001
2023-02-01,O2,233.5374204166667
2023-03-01,O2,233.35007166666665
2023-04-01,O2,233.5089754166667
2023-05-01,O2,233.59835333333334
2023-06-01,O2,233.63466041666666
2023-07-01,O2,233.63169833333333
2023-08-01,O2,233.38199125
2023-09-01,O2,232.95215041666665
2023-10-01,O2,232.64548374999998
2023-11-01,O2,232.30545291666664
2023-12-01,O2,232.0242670833333
2024-01-01,O2,232.32273166666664
2024-02-01,O2,232.91714708333333
2024-03-01,O2,233.13689791666664
2024-04-01,O2,233.2110508333333
2024-05-01,O2,233.3480145833333
2024-06-01,O2,233.42515
2024-07-01,O2,233.5539183333333
2024-08-01,O2,233.75395708333332
2024-09-01,O2,233.87958416666666
2024-10-01,O2,233.96224916666665
2024-11-01,O2,234.00676875
2024-12-01,O2,234.19265208333331
2025-01-01,O2,234.04529291666665
2025-02-01,O2,233.48180416666665
2025-03-01,O2,233.1023083333333
2025-04-01,O2,233.00800124999995
2025-05-01,O2,233.12016999999994
2025-06-01,O2,233.16798958333328
2025-07-01,O2,233.0834191666666
2025-08-01,O2,232.9342147607422
2025-09-01,O2,232.80347808410647
2025-10-01,O2,233.00015865275066
2025-11-01,O2,233.21404697794594
2025-12-01,O2,233.3324405505371
2026-01-01,O2,233.62979814392088
2026-02-01,O2,232.85987023594834
2026-03-01,O2,232.81570488471095
2026-04-01,O2,232.77153953347354
2026-05-01,O2,232.72737418223613
2026-06-01,O2,232.68320883099872
2026-07-01,O2,232.6390434797613
2016-06-01,CO2,410.31036316590723
2016-07-01,CO2,410.25325446142807
2016-08-01,CO2,410.1961457569489
2016-09-01,CO2,410.13903705246975
2016-10-01,CO2,410.0819283479906
2016-11-01,CO2,410.0248196435114
2016-12-01,CO2,406.21645488938236
2017-01-01,CO2,408.95552553663947
2017-02-01,CO2,411.35286043260135
2017-03-01,CO2,412.2387523645036
2017-04-01,CO2,411.3375931408833
