predictor,lag_years,n,rho_raw,p_raw,rho_detrended,p_detrended,p_detrended_fdr
event_count,0,22,-0.5109515218138978,0.015093302121844688,0.11801242236024848,0.600939011455951,0.9615024183295215
event_count,1,22,-0.507699668958065,0.01586131411754724,-0.2252964426877471,0.3134123757420365,0.7459398190096
event_count,2,21,-0.5001804140668547,0.020937869185061714,0.04285714285714286,0.8536570982478849,0.975608112283297
event_count,3,20,-0.4577056103211661,0.04243127597063025,-0.08120300751879699,0.733607630478017,0.975608112283297
total_mhw_days,0,22,-0.5755436546931718,0.005067930595875965,-0.1643139469226426,0.4649608938522396,0.8265971446262037
total_mhw_days,1,22,-0.7252188936467444,0.00013411004702802536,-0.48164878599661215,0.02322568064366436,0.37161089029862976
total_mhw_days,2,21,-0.6813900976457306,0.0006711722963543286,-0.0961038961038961,0.6785829571667291,0.975608112283297
total_mhw_days,3,20,-0.6009778537075028,0.005071708551112618,-0.24511278195488717,0.2976005003886618,0.7459398190096
cum_intensity_sum,0,22,-0.5821569734613213,0.004475556134260246,-0.20948616600790515,0.349447352439489,0.7459398190096
cum_intensity_sum,1,22,-0.6589497459062676,0.0008525774283002158,-0.313382269904009,0.155560751936561,0.7459398190096
cum_intensity_sum,2,21,-0.5701298701298702,0.006966166514889725,0.0012987012987012987,0.9955422850919049,0.9955422850919049
cum_intensity_sum,3,20,-0.4481203007518797,0.04753173575066418,-0.21052631578947367,0.3729699095048,0.7459398190096
max_intensity,0,22,-0.6329757199322417,0.0015682538131232186,-0.24901185770750994,0.26377649392584046,0.7459398190096
max_intensity,1,22,-0.6261998870694523,0.0018224061944375632,-0.33370976849237727,0.12907336510697257,0.7459398190096
max_intensity,2,21,-0.4077922077922078,0.06650304724796137,0.04675324675324675,0.840510514240316,0.975608112283297
max_intensity,3,20,-0.22857142857142856,0.3323968570405118,0.009022556390977442,0.9698849998123449,0.9955422850919049
