lag,n,mean_ec50,sd_EC50,se_EC50,ci_lower,ci_upper,boot_p,boot_p025,boot_p975,significant
-6,73,35.38315068493151,12.427959966632725,1.4545826918022788,32.532168608999044,38.23413276086397,0.0,37.19058504901961,39.8918428214448,True
-5,69,34.62444444444444,11.251477360028082,1.354518700462199,31.969587791538533,37.279301097350356,0.0,37.406751815044856,40.414532089552246,True
-4,74,35.723567567567564,11.41655343792529,1.327147379751447,33.122358703254726,38.3247764318804,0.0,36.96570716746795,40.293691489899,True
-3,66,35.30046464646465,11.167349462152696,1.3746056955836248,32.60623748312074,37.99469180980855,0.0,37.747047814207654,40.59656507936508,True
-2,73,35.940721461187216,12.697047775122606,1.486077037604427,33.02801046748254,38.853432454891895,0.0,37.588508425499235,40.988829042438894,True
-1,67,36.31346268656716,12.357933504359284,1.5097618696197415,33.35432942211247,39.272595951021856,0.0,37.872177646879756,40.784073777777785,True
0,64,35.73031770833333,11.264789017552937,1.4080986271941172,32.970444399032864,38.4901910176338,0.0,36.90693318042813,39.4684501529052,True
1,65,34.72372307692308,11.28601025969043,1.3998572871317863,31.980002794144777,37.46744335970138,0.0,37.36619788829057,40.146372471707814,True
2,69,34.39744927536232,11.312635124217515,1.361881230076962,31.728162064411475,37.06673648631317,0.0,36.790881905588776,39.876679292929296,True
3,67,34.92519900497512,12.33135076722371,1.5065142713944188,31.97243103304206,37.87796697690818,0.0,37.33660720766129,40.378902653769835,True
4,65,34.54310256410257,12.874036216208992,1.59682766516934,31.41332034037066,37.67288478783448,0.0,37.12406414930555,40.27296130952381,True
5,72,34.17762037037037,13.504074222434687,1.591470409388337,31.05833836796923,37.29690237277151,0.0,36.66048796875,39.67911210565476,True
6,74,34.95587837837838,12.079048039437506,1.4041608128577698,32.203723185177154,37.708033571579605,0.0,36.24382189054726,39.266690665561995,True
7,66,32.91404545454545,12.234906551518808,1.5060128894192562,29.96226019128371,35.86583071780719,0.0,35.90034927596769,38.91366111111111,True
8,70,35.8962,12.158488181959692,1.4532172921332343,33.04789410741886,38.74450589258114,0.016016016016016016,36.197093869731795,39.62325266078183,True
9,66,34.82157575757576,11.865541351072077,1.4605471761803879,31.9589032922622,37.684248222889316,0.0,36.10089154447703,39.35886927083334,True
10,66,35.44232323232323,11.539843919306168,1.4204565936961828,32.658228308678716,38.22641815596775,0.0,37.48778787878788,40.5331494054255,True
11,63,34.641703703703705,12.20414564870213,1.5375778262131847,31.628051164325864,37.65535624308155,0.0,36.63482824675325,39.57778518192489,True
12,64,35.03406770833333,11.787515638219475,1.4734394547774343,32.14612637696956,37.9220090396971,0.0,36.44723436365765,39.42602566615226,True
